iddespesa,medicos
635280,515.0
635281,500.0
635282,600.0
635283,820.0
635284,1110.0
635285,880.0
635286,900.0
635287,900.0
635288,862.0
635289,700.0
635290,900.0
635291,675.0
635292,600.0
635293,1000.0
635294,750.0
635295,880.0
635296,900.0
635297,900.0
635298,1000.0
635299,1950.0
635303,882.0
635304,900.0
635305,1078.0
635306,900.0
635307,900.0
635309,900.0
635310,1100.0
635311,1100.0
635312,832.0
635313,1282.0
635314,515.0
635315,600.0
635316,400.0
635317,1700.0
635318,1000.0
635399,200.0
635400,500.0
635401,480.0
635402,640.0
635403,588.0
635404,600.0
635405,200.0
635438,1170.0
635439,1180.0
635440,500.0
635441,660.0
635442,825.0
635443,550.0
635444,900.0
635445,825.0
635447,1100.0
635448,465.0
635449,855.0
635450,1700.0
635451,900.0
635590,672.0
635591,620.0
635592,976.0
635593,1070.0
635594,400.0
635595,835.0
635596,550.0
635597,1068.0
635598,990.0
635599,720.0
635600,600.0
635601,1260.0
635602,900.0
635603,515.0
635604,855.0
635605,944.0
635606,660.0
635607,1025.0
635608,600.0
635609,1800.0
635975,515.0
635976,1000.0
635977,872.0
635978,1070.0
635979,980.0
635980,980.0
635981,1080.0
635982,900.0
635983,900.0
635984,900.0
635985,1416.0
635986,500.0
635987,1920.0
635988,600.0
635989,900.0
635991,670.0
635992,588.0
635993,480.0
635994,643.0
635995,620.0
635996,825.0
635997,1025.0
635998,1000.0
635999,562.0
636000,500.0
636001,880.0
636002,900.0
636003,850.0
636004,630.0
636005,500.0
636006,1080.0
636007,400.0
636008,448.0
636009,600.0
636010,1800.0
636011,515.0
636012,500.0
636013,660.0
636014,820.0
636015,1110.0
636016,880.0
636017,862.0
636018,900.0
636019,900.0
636020,1000.0
636021,900.0
636022,1000.0
636023,750.0
636024,1200.0
636025,900.0
636026,1100.0
636027,900.0
636028,1000.0
636029,1600.0
636030,1000.0
636683,200.0
636684,500.0
636685,480.0
636686,588.0
636687,600.0
636688,640.0
636689,200.0
636690,1180.0
636691,1170.0
636692,660.0
636693,550.0
636694,900.0
636696,900.0
636697,900.0
636698,1100.0
636699,855.0
636700,1540.0
636701,900.0
636702,1785.0
636703,900.0
636704,500.0
636705,588.0
636706,882.0
636707,900.0
636708,1210.0
636709,1100.0
636710,1100.0
636711,900.0
636712,900.0
636713,1282.0
636714,832.0
636715,515.0
636716,600.0
636717,400.0
636718,1260.0
636719,1000.0
636755,672.0
636756,534.0
636757,20.0
636758,620.0
636759,976.0
636760,1000.0
636761,835.0
636762,400.0
636763,550.0
636764,990.0
636765,900.0
636766,1260.0
636767,600.0
636768,720.0
636769,515.0
636770,642.0
636771,1025.0
636772,944.0
636773,660.0
636774,1300.0
636775,1800.0
637023,515.0
637024,1000.0
637025,980.0
637026,980.0
637027,872.0
637028,1070.0
637029,1080.0
637030,900.0
637031,900.0
637032,900.0
637033,1416.0
637034,500.0
637035,1920.0
637036,600.0
637037,900.0
637292,588.0
637293,480.0
637294,643.0
637295,825.0
637296,1025.0
637297,1000.0
637298,562.0
637299,850.0
637300,1045.0
637301,1045.0
637302,900.0
637303,1100.0
637304,500.0
637305,400.0
637306,1080.0
637307,448.0
637308,1100.0
637309,1800.0
637310,600.0
637311,880.0
637312,820.0
637314,1110.0
637315,880.0
637316,900.0
637317,900.0
637318,862.0
637319,500.0
637320,1000.0
637321,900.0
637322,660.0
637323,675.0
637324,1000.0
637325,1200.0
637329,700.0
637330,880.0
637331,900.0
637332,900.0
637333,1600.0
637334,1000.0
637608,588.0
637609,882.0
637610,900.0
637611,900.0
637612,1210.0
637613,900.0
637614,900.0
637615,900.0
637616,1100.0
637617,1100.0
637618,832.0
637619,1282.0
637620,515.0
637621,600.0
637622,400.0
637623,1260.0
637624,1000.0
637625,200.0
637626,500.0
637627,480.0
637628,640.0
637629,588.0
637630,600.0
637631,200.0
637632,1170.0
637633,1180.0
637634,660.0
637635,825.0
637636,550.0
637637,900.0
637638,900.0
637639,465.0
637640,1100.0
637641,855.0
637642,1540.0
637643,900.0
637644,1785.0
637645,900.0
637786,534.0
637787,20.0
637788,1070.0
637789,1000.0
637790,1300.0
637791,1900.0
637792,1070.0
637793,980.0
637794,900.0
637795,900.0
637796,900.0
637797,500.0
637798,600.0
637799,900.0
637952,588.0
637953,500.0
637954,850.0
637955,900.0
637956,1080.0
637957,600.0
637958,1800.0
637959,660.0
637960,900.0
637961,862.0
637962,700.0
637963,1800.0
637964,660.0
637965,900.0
637967,900.0
637968,1600.0
637970,1000.0
638107,588.0
638108,1210.0
638109,900.0
638110,900.0
638111,900.0
638112,1260.0
638113,1000.0
638204,900.0
638205,900.0
638206,1785.0
638207,900.0
638208,1068.0
638209,900.0
638210,515.0
638211,600.0
638212,1800.0
638282,980.0
638283,900.0
638284,900.0
638286,700.0
638287,900.0
638288,850.0
638289,1080.0
638290,600.0
638291,1800.0
638515,862.0
638516,900.0
638517,700.0
638518,1800.0
638519,900.0
638520,900.0
638521,1600.0
638522,1000.0
638523,1210.0
638524,900.0
638525,900.0
638526,630.0
638527,1000.0
638534,240.0
638599,900.0
638601,900.0
638602,1785.0
638605,900.0
