idreceita,Mensalidades
2956996,152.3101
2920440,72.0
2924225,72.0
2945967,292.7401
2957002,229.88
2957003,177.0
2641668,80.7401
2926431,195.0
2941545,195.0
2946080,113.47
2946228,269.36
2947080,195.0
2957004,74.66
2957009,195.0
2852931,186.62
2877230,75.0
2877231,74.33
2922457,71.13
2923674,180.27
2923715,185.12
2925293,73.84
2925328,73.84
2926854,73.68
2927189,158.0
2927698,67.0201
2929450,177.0
2945561,68.6201
2949950,91.8401
2950914,72.0
2952057,176.05
2922431,179.64
2925953,199.86
2926706,73.66
2926869,147.28
2926947,135.27
2927167,177.65
2927237,73.58
2927258,73.58
2927426,157.99
2927611,341.08
2927706,125.09
2927731,126.6
2927791,94.05
2927806,89.53
2927861,199.02
2927914,167.47
2927945,398.94
2927976,73.46
2927993,73.46
2927997,146.92
2928020,133.08
2928028,159.59
2928040,169.49
2928041,73.59
2928044,316.0
2928058,72.0
2930873,75.48
2931288,84.2
2931543,177.0
2934845,72.0
2934871,106.0
2937105,200.28
2720287,131.22
2793103,202.18
2922732,163.88
2924337,200.42
2927297,81.09
2927613,147.04
2927707,68.0
2930628,88.4217
2931156,173.83
2938055,73.74
2939440,72.0
2939944,146.96
2941721,172.15
2941845,81.09
2941884,142.55
2941915,88.69
2941947,295.63
2942035,73.0
2942038,72.0
2942058,80.3
2942061,131.43
2942994,72.0
2943023,177.0
2943599,176.05
2943622,110.0
2943714,98.24
2944625,50.0
2945581,81.97
2947125,73.0
2947648,152.07
2948718,176.05
2949029,71.93
2949030,158.0
2949223,96.0
2949499,162.5
2949506,177.0
2949510,177.0
2949517,195.0
2949535,160.0
2949595,195.0
2949612,87.44
2949677,161.6
2949728,72.0
2949745,97.44
2949767,178.99
2949770,105.0
2949790,106.0
2949828,85.49
2949880,159.53
2949923,72.0
2949947,168.8
2950057,119.35
2950099,80.58
2950269,160.31
2950289,72.0
2950975,161.63
2951103,73.59
2951728,101.0
2952695,74.65
2952708,135.22
2957063,69.5185
2957068,99.0
2957077,79.0
2957079,72.0
2536023,124.272
2562302,85.11
2572122,163.04
2572189,159.64
2770265,307.0901
2788021,74.8201
2788022,74.1501
2792277,151.8201
2792278,162.7001
2848389,75.4674
2873635,135.0
2878010,84.6278
2886276,72.0
2904760,124.9693
2922495,121.2
