iddespesa,medicos
11930,1180.0
11931,450.0
12076,900.0
12078,1540.0
12089,1120.0
12091,675.0
12093,1180.0
12094,450.0
12102,430.0
12103,560.0
12104,900.0
12108,1150.0
12111,900.0
12119,1540.0
12121,690.0
12127,695.0
12128,470.0
12132,590.0
12134,1120.0
12136,675.0
12138,1180.0
12139,450.0
12145,810.0
12147,430.0
12148,560.0
12149,900.0
12159,1150.0
12162,900.0
12169,690.0
12175,786.0
12193,590.0
12195,1120.0
12197,675.0
12199,1180.0
12200,450.0
12205,430.0
12206,560.0
12207,900.0
12216,1060.0
12221,1150.0
12223,900.0
12228,1540.0
12230,690.0
12237,695.0
12240,590.0
12243,1120.0
12244,675.0
12246,1180.0
12247,450.0
12251,810.0
12253,430.0
12254,560.0
12260,1060.0
12262,900.0
12267,1150.0
12270,900.0
12288,786.0
12290,690.0
12297,900.0
12298,900.0
