idreceita,Mensalidades
285062,229.93
286043,189.97
286469,504.93
296680,160.0
296716,85.0
283442,213.04
400919,85.0
277632,89.0
277735,84.46
278688,317.53
277690,158.0
279635,221.64
400756,165.0
398913,270.0
278709,260.0
283270,179.0
286073,91.15
288324,228.694
292318,487.23
400930,98.42
278491,92.64
400934,218.4
400936,208.3431
291967,105.0
277646,258.54
274541,95.83
274671,222.84
289648,157.86
277759,225.0
277710,69.02
277747,170.0
277743,79.0
277728,233.35
274672,123.11
281457,189.0
288242,79.0
291687,205.0
291263,84.46
285197,85.0
298268,85.0
303321,90.83
303347,90.83
303255,162.3
277458,79.0
278552,685.89
398484,374.0
400940,102.66
400942,96.1479
284716,88.85
298544,344.0
278757,245.25
277699,234.0
278733,433.05
400957,69.0
400958,85.0
292346,289.69
400967,225.0
275289,89.2
276847,88.4
277606,80.72
400979,225.0
400989,119.26
400990,73.62
400991,114.37
400995,236.7
401012,129.0
277382,135.03
289910,221.64
401045,197.66
401047,203.48
292821,270.0
279628,238.68
401049,262.46
401050,198.0
401051,172.8763
296730,89.0
296937,85.0
289888,270.0
286188,366.7
285964,415.86
277020,89.0
284980,84.46
278595,105.3542
280822,215.25
281450,109.56
283235,195.01
283990,224.63
289235,227.5
291305,77.46
297264,79.0
401057,377.79
401058,166.31
289321,90.64
401062,229.93
401063,229.93
401064,109.1627
401065,106.49
281184,235.0
285950,86.11
286798,93.52
277726,92.53
277463,407.53
276623,403.6
277767,145.16
274661,294.25
292683,126.95
285544,240.1
293400,196.39
291149,91.9
290893,221.64
290564,215.07
282898,204.58
284146,204.58
282832,224.63
285990,253.31
282271,221.64
286863,168.75
287466,229.93
289307,236.94
274673,363.98
285171,129.71
281564,86.11
282085,140.61
289174,93.52
289175,93.52
292386,90.64
281220,137.45
288070,240.55
285055,171.4
282775,133.34
291595,289.69
283545,69.0
283000,289.69
284020,179.0
289955,145.0
288657,270.0
287351,110.0
285712,385.0
286222,245.25
280755,84.46
289547,91.15
287473,91.15
285204,91.15
291473,99.0
283365,79.0
286945,270.0
285474,198.0
286920,529.0
291842,225.0
289667,119.0
290925,148.0
285612,158.0
287909,79.0
296693,179.0
356366,117.38
356346,90.86
378546,79.0
398783,140.0
399803,79.0
277343,187.79
299305,80.7
277652,86.2
283479,123.34
279597,159.0
401067,221.64
356312,285.0
278698,164.92
282368,79.0
291537,88.85
281798,224.63
211226,97.82
277483,145.0
277725,91.37
288461,270.0
401070,143.6446
401071,234.53
378611,89.0
401072,225.0
295571,79.0
401081,202.3467
293364,119.0
401082,195.93
401084,218.72
401085,219.96
401086,270.0
277576,80.7696
282342,127.64
274400,160.63
274632,94.82
276223,482.1336
401096,192.4314
401097,165.6903
401098,233.7031
287370,129.71
276022,79.0
277580,79.0
286915,75.0
278759,215.25
284517,164.95
281620,235.31
286838,217.66
291582,235.31
401103,160.239
401104,92.5
401105,89.92
276006,313.0
277564,313.0
277556,178.0
277638,499.42
281023,96.98
288179,108.75
282844,168.88
288857,172.93
284665,211.09
280325,529.02
292977,208.78
291562,83.22
292189,120.52
280933,253.06
285100,94.82
280356,222.84
285375,93.52
288679,93.52
292884,245.25
292105,86.11
284058,245.25
287510,241.93
283552,84.46
293082,110.23
284628,88.85
288882,85.0
289949,195.0
282749,84.46
279322,225.0
283175,245.32
280586,198.13
284943,84.46
289528,160.0
285520,127.64
288232,79.0
286898,91.15
289375,129.0
289811,270.0
279019,148.0
288201,540.0
282595,160.0
297479,390.0
297605,79.0
299649,505.0
399102,85.0
399593,79.0
286462,222.84
283680,79.0
288418,201.46
401114,85.0
281881,204.58
401124,168.12
401126,232.02
401125,162.36
288686,124.71
401127,196.9
401129,207.59
401130,270.0
274665,92.62
277309,140.61
278336,167.14
279617,225.0
401145,211.3
401136,85.0
284434,148.0
281939,85.0
401148,197.21
401149,193.0
280363,90.64
290154,90.64
291674,93.52
401152,81.054
285190,270.0
286811,386.91
277582,250.56
401153,129.71
401155,356.7
299150,270.0
280541,396.9
289989,93.52
282479,229.93
401158,93.52
278687,97.0
401163,85.0
287450,86.11
290516,241.93
401172,91.17
278691,207.73
275902,91.93
277460,91.1
276415,293.35
289440,270.0
276160,118.58
277718,117.51
278767,139.46
281470,229.47
283072,215.25
287855,176.11
290665,205.0
291312,215.25
292747,176.11
401178,185.388
401180,106.47
291575,485.17
291985,225.0
277730,182.73
401184,85.0
287576,75.0
284557,168.6
279925,254.91
283915,124.28
288964,127.4
284896,86.3
287399,185.75
291227,114.49
286204,551.33
284153,83.22
280008,224.69
288971,224.63
279721,228.69
292124,335.61
286255,197.45
281992,158.63
290376,93.52
290703,245.25
291298,86.11
288803,247.47
283823,116.8
292055,91.37
281517,84.46
292930,241.93
286020,540.0
292225,115.02
290606,85.0
292527,225.0
290540,225.0
291832,85.0
283711,91.15
279384,241.93
292607,91.15
278847,289.69
288539,86.11
280268,161.32
280015,86.11
292834,245.07
284299,171.4
282054,240.0
289635,140.0
279472,79.0
290083,190.06
292897,85.0
279012,185.0
297188,158.05
277186,164.69
277327,380.68
277456,250.19
281090,75.0
276606,81.27
291279,75.0
279584,84.46
401196,215.19
401197,198.97
284642,506.11
401199,181.47
401200,259.96
401205,194.01
401206,159.43
401207,89.0
290050,229.93
298253,81.22
298254,79.0
401209,178.25
276799,826.35
284960,225.0
401214,159.26
287358,304.7601
284192,208.1401
293005,94.8201
277420,250.929
290032,253.31
282073,90.64
291183,140.07
280866,270.0
290863,93.52
290787,99.0
298239,225.0
281036,135.0
293439,85.0
401224,225.82
277110,220.0
277111,285.0
277627,165.0
277683,86.11
398976,225.0
278750,235.31
286197,93.52
280129,223.06
284806,79.11
285382,221.644
285776,270.0
288395,195.01
288831,228.694
292576,215.25
292953,235.31
293210,508.88
278581,545.9
401227,110.16
401228,238.55
291960,221.64
278810,85.0
291865,88.85
286572,233.92
278996,233.92
289825,194.88
285871,226.88
279365,203.48
291430,223.43
279932,83.22
292196,223.58
282153,228.69
286407,228.69
281524,213.91
280210,198.49
287589,222.84
289479,247.47
282313,219.32
292734,140.61
290164,87.48
291505,247.47
284198,289.69
281230,182.3
290312,241.93
280250,225.0
292676,85.0
288304,225.0
292855,241.93
290434,140.61
286714,128.9
289553,85.0
286701,79.0
280733,225.0
289328,225.0
281710,225.0
291120,185.0
281001,130.0
292841,225.0
292416,160.0
293344,205.06
297709,85.0
297823,85.0
277684,252.68
274667,258.42
289226,90.83
277755,90.91
279708,130.0
284770,343.7
401230,198.0
401242,177.7102
291512,245.25
286296,253.06
401244,199.66
284545,225.0
281017,245.25
401248,97.5901
401247,330.6201
277280,115.0
277727,178.8368
401251,93.7101
401252,91.2302
276809,128.51
287217,121.83
401254,240.55
278817,123.14
401255,110.0
287517,162.87
277679,258.98
401266,245.25
284447,75.0
401267,222.6727
398553,178.0
279041,225.0
284317,85.0
286346,182.3
279115,91.15
279917,179.0
401288,105.52
401289,222.8402
401290,262.2
281143,110.0
401294,459.85
291986,225.0
401268,160.0
401277,185.0
277464,88.85
284012,88.85
401297,235.1436
401298,202.66
401300,204.93
279879,224.61
291950,88.85
290319,140.0
401310,209.78
287953,84.46
287087,214.0
401315,135.0
280952,89.0
278768,244.68
279485,223.06
279642,215.25
280295,235.31
280342,190.82
281201,215.25
283182,227.5
283379,199.6
284427,278.0
288025,85.0
288186,146.61
289766,516.76
291760,232.18
286374,91.15
289149,79.0
297726,89.0
279454,254.17
291973,79.0
288331,173.31
290847,225.0
401330,189.0
289294,277.0
277574,80.86
280193,75.0
278711,222.84
284265,120.0
279610,182.75
281770,408.24
282103,274.0
284128,199.6
284950,314.62
286243,591.58
288290,158.22
288511,227.5
399133,79.0
277859,0.01
277980,0.01
283735,0.01
283736,0.01
292170,228.69
277090,152.03
292513,208.14
277724,241.46
277738,95.15
280021,203.26
281103,76.98
282345,215.25
282885,215.25
283085,229.47
285551,181.21
289090,485.18
289866,129.6
291020,215.25
293185,227.5
399251,85.0
401347,167.11
286110,89.0
277740,379.0
378532,91.02
279410,230.38
289128,245.25
378533,85.0
401351,241.93
401352,161.6147
401353,192.13
285397,91.37
291814,119.0
277549,200.96
277268,214.23
277676,96.96
279251,129.26
292276,90.57
280105,402.4
290956,229.93
282472,83.22
280762,253.31
285820,253.31
286455,304.48
291086,459.85
280522,140.07
292659,182.75
283559,93.54
285270,236.94
280644,90.64
290427,83.11
282608,245.25
281237,86.11
283513,331.36
280697,219.32
283506,123.72
291541,103.11
287406,279.42
281628,84.46
292036,69.0
281700,84.46
290354,158.0
286381,85.0
284780,165.0
283674,75.0
282183,75.0
291638,225.0
280579,84.46
282447,225.0
287654,158.0
286237,158.0
285044,79.01
286080,129.0
280661,79.0
281177,79.0
285737,110.0
297625,508.15
297895,85.0
298291,170.0
281919,159.0
399410,99.0
275718,81.21
277316,310.97
277470,87.91
295932,90.86
277721,158.29
277784,137.82
276527,81.27
279540,233.38
282633,93.52
286654,89.0
289566,193.99
292445,127.17
401375,106.49
401376,144.98
279520,211.51
401377,216.51
401379,166.32
285389,461.07
401361,148.0
401381,110.0
