iddespesa,medicos
32719,470.0
32720,525.0
32722,950.0
32723,950.0
32724,1370.0
32725,950.0
32726,1050.0
32727,950.0
32728,525.0
32729,840.0
32733,900.0
32735,840.0
32737,1000.0
32738,950.0
32739,1050.0
32740,950.0
32741,950.0
32742,950.0
32743,945.0
32744,315.0
32754,870.0
32764,525.0
32766,810.0
32767,525.0
32768,1040.0
32769,950.0
32770,675.0
32771,950.0
32772,950.0
32773,1100.0
32797,950.0
32798,950.0
32799,1050.0
32800,850.0
32801,940.0
32802,1100.0
32803,470.0
32805,525.0
32806,950.0
32915,840.0
32918,150.0
32919,400.0
32921,950.0
32922,900.0
32923,950.0
32924,950.0
32925,1050.0
32927,950.0
32928,950.0
32929,1050.0
32930,950.0
32931,1050.0
32932,1320.0
32933,950.0
32950,470.0
32958,950.0
32959,950.0
32960,525.0
32961,1050.0
32962,950.0
32963,525.0
32964,950.0
32968,470.0
32980,900.0
32981,950.0
32982,1050.0
32983,950.0
32984,950.0
32985,950.0
32986,1000.0
32987,315.0
32988,840.0
33008,525.0
33009,870.0
33012,950.0
33013,640.0
33014,525.0
33015,1040.0
33016,950.0
33017,675.0
33018,950.0
33019,950.0
33031,470.0
33032,1100.0
33033,940.0
33034,850.0
33035,1050.0
33036,950.0
33037,525.0
33038,950.0
33039,950.0
33048,950.0
33049,900.0
33050,1070.0
33051,950.0
33052,840.0
33053,1050.0
33054,950.0
33055,950.0
33056,950.0
33058,950.0
33059,950.0
33060,1050.0
33061,950.0
33062,1050.0
33063,1050.0
33065,400.0
33077,470.0
33085,525.0
33094,525.0
33095,950.0
33097,1050.0
33098,950.0
33099,950.0
33100,1370.0
33105,525.0
33109,1000.0
33123,900.0
33130,945.0
33131,950.0
33132,1050.0
33133,950.0
33134,950.0
33135,950.0
33136,315.0
33141,810.0
33142,870.0
33143,525.0
33144,950.0
33145,675.0
33146,950.0
33147,950.0
33148,1100.0
33150,720.0
33151,720.0
33152,720.0
33153,720.0
33155,525.0
33168,850.0
33170,950.0
33171,1100.0
33172,470.0
33173,940.0
33174,1040.0
33175,950.0
33176,950.0
33177,1050.0
33178,950.0
33190,560.0
33191,560.0
33194,420.0
33195,525.0
33200,1070.0
33203,950.0
33204,900.0
33205,950.0
33206,1050.0
33207,950.0
33210,700.0
33218,470.0
33228,1050.0
33229,950.0
33230,950.0
33231,950.0
33232,950.0
33233,950.0
33234,1050.0
33235,950.0
33236,950.0
33237,525.0
33238,1050.0
33239,525.0
33240,950.0
33241,950.0
33242,1370.0
33251,840.0
33254,900.0
33255,950.0
33256,1050.0
33257,950.0
33258,950.0
33259,950.0
33261,1000.0
33262,945.0
33263,315.0
33274,525.0
33275,720.0
33276,1040.0
33277,950.0
33278,675.0
33279,950.0
33280,950.0
33281,950.0
33283,810.0
33284,870.0
33299,525.0
33309,940.0
33312,470.0
33313,1100.0
33314,950.0
33315,950.0
33316,1050.0
33317,850.0
33318,525.0
33319,950.0
33320,950.0
33334,840.0
33335,700.0
33337,1070.0
33338,950.0
33339,900.0
33340,950.0
33341,1050.0
33342,950.0
33403,950.0
33404,1050.0
33405,950.0
33406,950.0
33407,1050.0
33408,950.0
33417,470.0
33422,950.0
33423,950.0
33424,525.0
33425,950.0
33426,1050.0
33427,950.0
33428,1370.0
33429,525.0
33557,470.0
33559,840.0
33561,900.0
33562,950.0
33563,1050.0
33564,950.0
33565,950.0
33566,1000.0
33567,315.0
33568,950.0
33569,950.0
33577,870.0
33578,810.0
33600,720.0
33601,950.0
33602,950.0
33603,525.0
33604,1040.0
33605,950.0
33606,1100.0
33622,525.0
