idreceita,Mensalidades
191671,40.3133
198076,43.67
356391,57.6
379013,61.69
372163,62.7201
372164,67.3301
186818,68.0
233036,68.0
244730,68.0
245501,68.0
246590,68.0
247201,68.0
248055,68.0
249749,68.0
249772,68.0
250070,68.0
251393,68.0
252538,68.0
253728,68.0
254266,68.0
254840,68.0
271803,68.0
274392,68.0
371001,68.0
373688,68.0
376613,68.84
254610,69.4
245493,69.44
374583,69.4824
371114,69.69
331657,69.75
248980,69.85
250069,69.99
379207,70.0343
244729,70.28
371113,70.32
240300,70.34
331656,70.5432
248259,70.56
249089,70.62
371112,70.89
239784,70.9101
256449,72.0
256902,72.0
258874,72.0
260423,72.0
260435,72.0
261116,72.0
261764,72.0
266263,72.0
266722,72.0
267748,72.0
268426,72.0
268892,72.0
270615,72.0
270978,72.0
271498,72.0
271831,72.0
272001,72.0
272130,72.0
272205,72.0
272870,72.0
273492,72.0
273742,72.0
273978,72.0
274686,72.0
274792,72.0
275265,72.0
275371,72.0
275503,72.0
276878,72.0
277045,72.0
277129,72.0
277339,72.0
277352,72.0
277375,72.0
277437,72.0
278226,72.0
278762,72.0
278957,72.0
279194,72.0
279303,72.0
279696,72.0
280139,72.0
280204,72.0
280997,72.0
290762,72.0
291460,72.0
292469,72.0
293139,72.0
293570,72.0
294621,72.0
295506,72.0
296436,72.0
297992,72.0
298220,72.0
298760,72.0
299855,72.0
300248,72.0
301185,72.0
301224,72.0
303277,72.0
303480,72.0
304028,72.0
304356,72.0
304712,72.0
304713,72.0
305189,72.0
306828,72.0
307204,72.0
309924,72.0
310233,72.0
310695,72.0
310827,72.0
312775,72.0
312829,72.0
312830,72.0
312927,72.0
314250,72.0
315820,72.0
316204,72.0
316205,72.0
317224,72.0
317319,72.0
318348,72.0
318372,72.0
318387,72.0
319589,72.0
319676,72.0
320219,72.0
320230,72.0
320874,72.0
320982,72.0
321464,72.0
321476,72.0
322250,72.0
322345,72.0
323090,72.0
323341,72.0
324099,72.0
324640,72.0
324754,72.0
326236,72.0
326319,72.0
327239,72.0
327281,72.0
328666,72.0
329121,72.0
329615,72.0
329746,72.0
330303,72.0
330638,72.0
331349,72.0
331632,72.0
332454,72.0
332658,72.0
333328,72.0
333852,72.0
333966,72.0
334572,72.0
335086,72.0
335495,72.0
335833,72.0
336489,72.0
337514,72.0
337737,72.0
338037,72.0
338268,72.0
338700,72.0
339648,72.0
340143,72.0
340439,72.0
340707,72.0
340810,72.0
340991,72.0
341156,72.0
342000,72.0
342057,72.0
342440,72.0
342454,72.0
342467,72.0
342823,72.0
343513,72.0
343837,72.0
344004,72.0
344210,72.0
345126,72.0
345361,72.0
345489,72.0
346105,72.0
346131,72.0
346176,72.0
346397,72.0
347491,72.0
347692,72.0
348671,72.0
349888,72.0
349994,72.0
350113,72.0
350431,72.0
351302,72.0
351855,72.0
352055,72.0
352345,72.0
352524,72.0
352564,72.0
352604,72.0
353590,72.0
353688,72.0
353722,72.0
354026,72.0
354087,72.0
354880,72.0
354913,72.0
356211,72.0
356236,72.0
356376,72.0
356405,72.0
358386,72.0
358521,72.0
358539,72.0
358764,72.0
359257,72.0
359377,72.0
360479,72.0
360713,72.0
360868,72.0
361140,72.0
361221,72.0
362074,72.0
362091,72.0
362443,72.0
362604,72.0
362644,72.0
363108,72.0
363347,72.0
363397,72.0
363910,72.0
363977,72.0
364378,72.0
364407,72.0
364416,72.0
364570,72.0
364621,72.0
365323,72.0
365560,72.0
365600,72.0
365767,72.0
366183,72.0
366277,72.0
366928,72.0
367370,72.0
367437,72.0
368787,72.0
368800,72.0
368941,72.0
369084,72.0
369792,72.0
369854,72.0
370263,72.0
370264,72.0
370418,72.0
370870,72.0
370927,72.0
370941,72.0
371066,72.0
371813,72.0
372052,72.0
372073,72.0
372439,72.0
372610,72.0
372878,72.0
372890,72.0
372908,72.0
372922,72.0
373264,72.0
373364,72.0
373393,72.0
373616,72.0
373810,72.0
374215,72.0
374234,72.0
374254,72.0
374331,72.0
374388,72.0
374515,72.0
374533,72.0
374564,72.0
374624,72.0
374961,72.0
375057,72.0
375112,72.0
375117,72.0
375305,72.0
375353,72.0
375354,72.0
375414,72.0
375461,72.0
375509,72.0
375681,72.0
375718,72.0
375737,72.0
375941,72.0
375992,72.0
376367,72.0
376537,72.0
376591,72.0
376917,72.0
376961,72.0
377125,72.0
377127,72.0
377198,72.0
377304,72.0
377797,72.0
377862,72.0
377925,72.0
377949,72.0
377984,72.0
377993,72.0
378181,72.0
378341,72.0
378852,72.0
378874,72.0
378905,72.0
378917,72.0
379429,72.0
379544,72.0
379551,72.0
379563,72.0
379589,72.0
379621,72.0
232453,72.998
232712,72.998
232831,72.998
232979,72.998
232981,72.998
233067,72.998
233186,72.998
233193,72.998
233351,72.998
233353,72.998
233435,72.998
233690,72.998
233770,72.998
233816,72.998
233891,72.998
172296,73.0
179172,73.0
179718,73.0
186836,73.0
186842,73.0
186860,73.0
186936,73.0
187058,73.0
187080,73.0
187097,73.0
187191,73.0
187217,73.0
187497,73.0
187928,73.0
188051,73.0
188408,73.0
188420,73.0
188984,73.0
189530,73.0
194926,73.0
195000,73.0
195107,73.0
195933,73.0
196064,73.0
196093,73.0
196393,73.0
199338,73.0
199464,73.0
201126,73.0
202770,73.0
204026,73.0
204937,73.0
206319,73.0
206343,73.0
206425,73.0
206459,73.0
206586,73.0
231465,73.0
232087,73.0
232433,73.0
232470,73.0
232550,73.0
232716,73.0
232720,73.0
232725,73.0
232751,73.0
232794,73.0
232816,73.0
232834,73.0
232883,73.0
232941,73.0
232955,73.0
232957,73.0
232959,73.0
233083,73.0
233088,73.0
233101,73.0
233125,73.0
233132,73.0
233144,73.0
233147,73.0
233149,73.0
233155,73.0
233160,73.0
233209,73.0
233246,73.0
233255,73.0
233292,73.0
233315,73.0
233348,73.0
233358,73.0
233380,73.0
233387,73.0
233441,73.0
233448,73.0
233450,73.0
233452,73.0
233487,73.0
233495,73.0
233503,73.0
233552,73.0
233707,73.0
233754,73.0
233778,73.0
233780,73.0
233781,73.0
233812,73.0
233818,73.0
233829,73.0
233847,73.0
233890,73.0
233904,73.0
233943,73.0
233955,73.0
234437,73.0
240305,73.0
240575,73.0
241053,73.0
241891,73.0
243360,73.0
254267,73.0
271957,73.0
272907,73.0
274874,73.0
275376,73.0
276378,73.0
276467,73.0
277330,73.0
277445,73.0
277627,73.0
290786,73.0
358454,73.0
278750,73.45
280550,73.45
352104,73.45
365456,73.45
325718,73.46
341926,73.48
256851,73.49
270928,73.49
304676,73.49
316556,73.49
256842,73.53
269391,73.53
300880,73.53
359401,73.53
242313,73.5352
277337,73.54
333934,73.54
270917,73.55
274710,73.55
299149,73.5696
374626,73.5696
271394,73.57
339570,73.57
349287,73.57
372544,73.57
337176,73.59
354605,73.59
376585,73.5912
256061,73.61
274709,73.61
276858,73.61
321323,73.61
338685,73.61
330211,73.6128
339230,73.6128
266255,73.63
345163,73.63
374653,73.656
321764,73.66
260422,73.67
372955,73.6776
315562,73.6777
370515,73.6801
273965,73.74
329440,73.74
326637,73.7401
