idreceita,Mensalidades
142272,51.32
142273,53.05
138366,63.74
67000,68.0
68376,68.0
69005,68.0
71433,68.0
72907,68.0
72908,68.0
73156,68.0
73855,68.0
74259,68.0
74406,68.0
79731,68.0
80252,68.0
80335,68.0
80336,68.0
81194,68.0
81560,68.0
81796,68.0
82009,68.0
82274,68.0
83141,68.0
83469,68.0
88683,68.0
88684,68.0
89505,68.0
89694,68.0
90680,68.0
91080,68.0
94365,68.0
94391,68.0
94392,68.0
94725,68.0
95466,68.0
95670,68.0
95671,68.0
96639,68.0
97385,68.0
99877,68.0
99893,68.0
100236,68.0
101237,68.0
101238,68.0
102295,68.0
102562,68.0
103660,68.0
103833,68.0
104156,68.0
104542,68.0
105115,68.0
105318,68.0
105655,68.0
105701,68.0
106164,68.0
106348,68.0
106547,68.0
107005,68.0
107558,68.0
108523,68.0
109044,68.0
109070,68.0
110953,68.0
111016,68.0
111223,68.0
111618,68.0
111709,68.0
111890,68.0
112012,68.0
112037,68.0
112436,68.0
112464,68.0
112524,68.0
112796,68.0
112797,68.0
113390,68.0
113484,68.0
113526,68.0
113530,68.0
113533,68.0
113541,68.0
113545,68.0
113546,68.0
113551,68.0
113560,68.0
113566,68.0
113569,68.0
113570,68.0
113573,68.0
113574,68.0
113580,68.0
113585,68.0
113593,68.0
113608,68.0
113621,68.0
113635,68.0
113646,68.0
113650,68.0
113655,68.0
113660,68.0
113668,68.0
113670,68.0
113673,68.0
113674,68.0
113680,68.0
113684,68.0
113685,68.0
113689,68.0
113698,68.0
113700,68.0
113701,68.0
113704,68.0
113705,68.0
113709,68.0
113715,68.0
113716,68.0
113719,68.0
113723,68.0
113735,68.0
113741,68.0
113746,68.0
113747,68.0
113752,68.0
113756,68.0
113758,68.0
113766,68.0
113770,68.0
113777,68.0
113778,68.0
113782,68.0
113794,68.0
113802,68.0
113803,68.0
113810,68.0
113822,68.0
113827,68.0
113943,68.0
115982,68.0
115983,68.0
116524,68.0
116890,68.0
117089,68.0
117090,68.0
117173,68.0
117364,68.0
117579,68.0
117658,68.0
117704,68.0
118132,68.0
118258,68.0
120118,68.0
121889,68.0
122178,68.0
122600,68.0
122612,68.0
122744,68.0
122756,68.0
122827,68.0
127392,68.0
127394,68.0
127417,68.0
127443,68.0
127812,68.0
127928,68.0
135183,68.0
138227,68.0
140580,68.0
140623,68.0
140635,68.0
140653,68.0
140706,68.0
141184,68.0
141288,68.0
141290,68.0
141292,68.0
141504,68.0
141527,68.0
141539,68.0
141575,68.0
141608,68.0
141613,68.0
141646,68.0
141651,68.0
141663,68.0
141694,68.0
141750,68.0
142227,68.0
142230,68.0
142274,68.0
66970,69.17
104812,69.38
105590,69.38
113594,69.38
89666,69.4
78771,69.42
103800,69.42
105044,69.42
118498,69.44
127440,69.44
68073,69.46
89755,69.46
107557,69.46
108916,69.46
88434,69.48
96391,69.5
116006,69.5
90462,69.5028
106944,69.5028
104529,69.52
108756,69.52
84859,69.56
108193,69.56
112784,69.56
111889,69.58
108182,69.6252
113665,69.6252
103486,69.63
113539,69.63
120706,69.66
87020,69.67
103219,69.67
65589,69.68
72988,69.69
70266,69.72
72097,69.73
120644,69.73
118257,69.82
104167,69.8496
74664,69.86
105700,69.87
90679,69.88
95669,69.91
74118,69.9312
107589,69.94
104943,69.9516
99318,70.0
105537,70.0
73155,70.01
107556,70.08
106273,70.1
88433,70.11
66984,70.2168
113245,70.22
72987,70.28
87019,70.3
60960,70.36
72096,70.36
74443,70.46
90678,70.5
78769,70.5228
58525,70.72
88432,70.75
54735,70.77
110603,70.85
60959,70.99
98392,71.13
143431,71.35
143432,71.35
143433,71.35
107071,71.48
99138,71.57
60958,71.6
72255,72.0
72256,72.0
83852,72.0
113614,72.0
113675,72.0
59934,72.21
97801,72.31
138355,73.0
67414,73.6992
68854,73.74
66582,73.8
89849,74.26
62765,74.66
62778,74.66
62854,74.66
67840,74.66
68179,74.66
68185,74.66
68358,74.66
68364,74.66
68386,74.66
68389,74.66
68589,74.66
69162,74.66
69261,74.66
69785,74.66
70498,74.66
72028,74.66
73530,74.66
74582,74.66
74583,74.66
75012,74.66
75123,74.66
75667,74.66
75914,74.66
76402,74.66
76407,74.66
77616,74.66
78982,74.66
79691,74.66
84441,74.66
84662,74.66
85121,74.66
88783,74.66
88784,74.66
92584,74.66
101396,74.66
106680,74.66
113708,74.66
140659,74.66
63680,74.664
66445,74.664
67956,74.664
113686,74.664
62578,75.28
67395,75.33
70021,75.95
70808,75.95
75831,75.95
90239,75.95
92124,75.95
98393,75.95
140744,75.95
62762,76.19
76687,76.19
102614,76.19
71311,76.21
84450,76.23
107421,76.23
80169,76.25
63933,76.27
62773,76.2875
88635,76.29
73907,76.31
102423,76.31
70785,76.33
72498,76.33
74994,76.37
75052,76.38
62790,76.41
63972,76.41
86897,76.47
69677,76.51
77195,76.5115
84122,76.53
69673,76.56
94893,76.62
80168,76.83
88634,76.98
99148,76.98
104853,77.01
66558,77.03
84121,77.23
69092,77.5
83407,77.6
59752,77.68
66557,77.72
99139,77.88
96023,77.9
50454,78.35
53891,78.42
68952,78.66
48586,78.91
71189,79.0
73711,79.0
74925,79.0
77277,79.0
83841,79.0
113591,79.0
113776,79.0
62617,79.06
68610,79.06
68619,79.06
68864,79.06
69009,79.06
69327,79.06
69867,79.06
70272,79.06
70825,79.06
78993,79.06
82473,79.06
83493,79.06
84078,79.06
77598,80.33
68605,80.7
68445,80.73
67397,80.76
68564,80.78
67969,80.81
94875,80.8782
75009,80.93
68951,80.94
140609,80.95
79751,81.0
81764,81.0
82488,81.0
85360,81.0
86828,81.0
86829,81.0
86870,81.0
88008,81.0
89960,81.0
91405,81.0
105135,81.0
105335,81.0
109093,81.0
110927,81.0
111275,81.0
112450,81.0
113124,81.0
113508,81.0
113527,81.0
113528,81.0
113549,81.0
113565,81.0
113651,81.0
113679,81.0
113695,81.0
113739,81.0
113740,81.0
113748,81.0
113749,81.0
113754,81.0
113772,81.0
113785,81.0
113815,81.0
113816,81.0
114020,81.0
114103,81.0
115821,81.0
117100,81.0
117618,81.0
117912,81.0
118918,81.0
118954,81.0
119834,81.0
121129,81.0
121259,81.0
121822,81.0
127402,81.0
127418,81.0
127432,81.0
138383,81.0
140560,81.0
140578,81.0
140719,81.0
140720,81.0
141315,81.0
141471,81.0
56798,81.25
66940,81.25
70045,81.25
85113,81.33
66561,81.42
62625,81.61
140608,81.68
71240,82.0
71279,82.0
74101,82.0
74198,82.0
74274,82.0
74276,82.0
113637,82.0
56892,82.35
105999,82.64
122787,82.66
103971,82.68
109092,82.7
114004,82.86
77725,82.94
102320,82.9845
54578,83.08
99298,83.08
117897,83.1789
91404,83.3
113375,83.32
109448,83.3976
103608,83.44
75809,83.76
99297,83.79
48955,83.8
79939,83.86
75808,84.0
110728,84.08
74006,84.1812
103607,84.37
60631,84.5
48954,84.53
79938,84.61
74005,84.8946
60879,85.62
60118,85.9451
70564,86.06
60117,86.7212
64768,86.74
64866,86.74
64869,86.74
70252,86.74
71142,86.74
72032,86.74
72890,86.74
73565,86.74
73902,86.74
74413,86.74
76080,86.74
96961,86.74
89511,86.742
113775,86.742
73285,88.47
91685,88.5
71221,88.53
84815,88.59
66309,88.79
73587,88.85
80744,89.0
96985,89.0
98454,89.0
101127,89.0
102261,89.0
104799,89.0
104907,89.0
106029,89.0
111927,89.0
112067,89.0
113515,89.0
113536,89.0
113626,89.0
113648,89.0
113652,89.0
113656,89.0
113666,89.0
113677,89.0
113681,89.0
113691,89.0
113725,89.0
113726,89.0
113771,89.0
114501,89.0
116310,89.0
116430,89.0
116967,89.0
117779,89.0
118061,89.0
118097,89.0
118168,89.0
119682,89.0
120350,89.0
120351,89.0
120631,89.0
120652,89.0
120655,89.0
121949,89.0
122215,89.0
127393,89.0
127397,89.0
127403,89.0
127404,89.0
127407,89.0
127423,89.0
127427,89.0
