iddespesa,medicos
48425,557.0
48426,660.0
48428,710.0
48430,1649.0
48431,1355.0
48433,1355.0
48434,1518.0
48476,882.0
48477,1290.0
48478,654.0
48479,1290.0
48496,480.0
48506,860.0
48507,1290.0
48508,1008.0
48533,872.0
48535,1313.0
48536,1290.0
48547,650.0
48596,480.0
48622,590.0
48623,572.0
48624,620.0
48625,1533.0
48630,590.0
48631,1290.0
48637,1570.0
48638,1355.0
48639,710.0
48647,792.0
48648,1355.0
48652,557.0
48686,480.0
48687,1313.0
48688,882.0
48689,1290.0
48693,1290.0
48696,654.0
48726,860.0
48727,1290.0
48728,872.0
48741,1290.0
48742,1313.0
48743,650.0
48766,1533.0
48767,590.0
48768,590.0
48769,1290.0
48777,1570.0
48778,620.0
48786,572.0
48788,1355.0
48789,1355.0
48790,710.0
48791,792.0
48797,1649.0
48798,557.0
48812,956.0
48813,956.0
48814,956.0
48815,882.0
48816,480.0
48817,1313.0
48820,1290.0
48827,480.0
48837,1290.0
48838,654.0
48862,860.0
48863,1290.0
48864,1008.0
48865,872.0
48876,1290.0
48877,590.0
48878,620.0
48879,1570.0
48880,1533.0
48881,590.0
48886,572.0
48921,1355.0
48922,557.0
48924,792.0
48925,1355.0
48937,1290.0
48946,480.0
48948,956.0
48949,1313.0
48950,480.0
48951,956.0
48952,1290.0
