idreceita,Mensalidades
260004,130.0
308803,178.3233
297490,99.84
297630,145.0
298956,178.21
308131,101.722
318688,100.0
318661,177.0
327605,177.0
322060,177.0
332416,173.0
232102,73.0
314069,120.76
332417,160.2182
235081,189.23
332418,163.2061
327614,349.44
232436,112.72
329386,72.0
313109,134.0
241091,168.22
332423,232.15
238361,155.4187
332425,168.0
332429,301.0
286750,72.0
324143,72.0
332431,178.71
308668,72.0
327611,160.0
332432,101.39
332434,78.0252
240766,80.29
332435,72.0
315246,72.0
332438,214.99
332439,125.47
271901,73.0
332440,72.0
328342,108.66
236068,80.15
242076,151.52
331767,158.0
332445,200.07
296540,176.7
258305,72.0
327687,96.0
319276,100.0
300025,177.0
309839,159.95
309885,74.664
309690,173.358
309709,177.0
309587,96.0
313201,352.11
332446,75.8554
251507,72.0
288052,172.2672
297937,73.0
313791,166.8451
332447,199.368
332448,66.1
332449,144.87
332450,167.1
230704,128.82
332443,160.0
332452,113.18
332453,72.0
239334,84.27
322273,157.0
322279,159.0
322291,275.0
324087,123.0
327721,177.0
327769,96.0
309887,80.244
316940,100.0
320910,88.14
318764,130.0
309797,112.93
297508,177.0
297624,72.0
251435,72.0
257099,113.0
270352,162.5
293470,273.0
322360,96.0
309896,73.0
320705,145.0
318810,302.0
308769,72.0
308844,86.95
309424,145.0
309746,352.11
309816,96.0
313647,179.8572
332457,158.28
332458,145.32
231101,176.05
332461,173.0
328862,72.0
284183,73.0
290307,73.0
324061,195.0
312890,177.0
332463,264.21
297705,195.0
332465,139.34
332466,78.96
264627,202.0
332468,168.27
332469,164.49
313834,146.94
314121,142.87
327635,72.0
332470,157.9498
332471,100.0
280816,130.0
332472,373.0
332475,176.05
332476,80.21
232078,107.18
238290,99.75
232079,107.18
285302,72.0
291189,333.0
308824,195.0
308825,195.0
268075,177.0
265832,177.0
313029,164.0
313155,176.05
313175,177.35
313222,73.0
313541,210.98
313708,81.98
238638,81.53
313897,82.89
314004,266.86
314076,83.31
241424,185.12
315201,106.0
250011,84.18
300103,177.05
317227,72.0
318158,73.52
318598,338.0
319989,72.0
320571,74.04
324766,195.0
329273,195.0
258377,168.54
238458,89.52
281786,177.0
286753,72.0
288997,106.0
292435,249.0
309667,72.0
309921,72.0
310198,72.0
277683,177.0
274688,72.0
269409,177.0
230541,142.82
231756,73.0
232172,287.7
232183,352.11
234815,330.69
235237,84.45
310316,72.0
312686,177.0
312758,243.61
312773,162.5
312925,290.0
312939,354.0
313000,177.0
313008,277.0
313045,167.09
313098,253.36
313355,398.19
235667,80.15
313555,175.73
313579,179.99
238506,111.33
238566,174.72
238811,86.72
313989,169.88
314001,166.26
314012,156.77
314019,97.82
314113,142.61
241007,173.83
241127,149.62
315199,195.0
320307,195.0
321936,147.08
323431,73.76
324531,96.0
327473,73.58
254334,177.0
327631,195.0
328456,72.0
328815,72.0
328820,143.0
328474,73.68
328874,173.0
231168,73.0
332482,109.7094
296285,176.8233
319449,105.41
251138,116.61
327652,161.6
319066,76.03
319450,123.74
319065,97.6
292888,99.2
332477,144.0
332485,89.61
332486,87.52
322190,72.0
313918,173.76
332488,96.0
332492,69.3768
231827,176.05
332493,81.0894
323126,182.1285
309491,177.35
332494,144.0
249853,72.0
249854,72.0
332497,199.836
332498,145.0
332501,72.0
332505,110.0
332507,110.0
314990,136.92
293550,72.0
332511,81.53
328870,110.0
332513,135.0
314256,169.95
312872,95.7
314125,116.45
332515,86.04
332516,195.0
308124,177.0
284497,72.0
309853,72.0
319278,177.0
308895,273.0
309748,177.0
309779,141.4898
320390,123.0
332520,104.39
332525,149.38
332526,164.11
332528,140.3544
332529,74.7885
314155,162.9485
332530,108.58
332532,59.14
332531,108.58
332533,59.14
332534,193.07
286669,83.1476
231170,73.0
231171,73.0
231172,73.0
332536,169.95
235141,80.15
260101,177.0
313640,176.02
312734,145.0
232045,161.61
332539,176.05
332541,140.22
332537,72.0
332593,125.17
332594,125.17
332595,72.0
231161,99.54
275299,144.0
332598,133.54
332601,164.3586
332599,72.0
332603,203.96
257075,100.0
314338,176.05
312775,87.0
332604,173.0
324754,195.0
320299,81.98
332605,160.0
234270,190.31
239194,185.82
239454,137.54
278181,72.0
279643,177.0
279691,72.0
280054,96.0
280619,113.0
282217,72.0
283728,72.0
287284,72.0
289705,195.0
292062,279.0
297821,195.0
307853,195.0
270936,72.0
270947,232.0
268664,96.0
262041,72.0
230787,73.0
231481,177.67
231815,176.05
232122,111.84
232123,111.84
271889,73.0
232244,128.82
234769,175.78
234984,91.87
235403,113.53
312743,144.14
312770,96.0
312830,72.0
312863,145.0
312948,123.0
313192,176.05
313213,176.05
313251,101.72
313275,180.07
313281,180.07
313284,74.66
313364,147.18
235153,110.8
235653,186.57
313506,176.02
313533,81.98
313537,176.33
313584,81.98
313615,86.63
313724,176.02
313749,168.48
313754,81.98
238602,171.63
239133,101.1
239230,505.06
239312,174.72
239430,178.71
313866,136.58
313886,173.76
313923,169.88
313957,119.98
314061,173.76
314073,313.18
314105,85.78
314160,145.34
240875,202.97
241139,169.95
241151,165.63
241163,173.83
241328,195.78
241377,173.83
241482,169.92
314196,313.91
314272,72.55
314685,99.84
314811,147.55
314983,74.26
247131,121.19
300024,83.39
316600,72.0
317462,122.27
318631,73.54
320509,112.35
320735,72.0
320861,72.0
322222,72.0
322236,195.0
322331,195.0
322784,291.0
323984,147.08
324252,72.0
324317,96.0
241518,99.59
327728,124.0
328251,143.0
312761,177.0
329000,72.0
271297,87.0
329927,78.94
329560,216.0
329616,345.0
332610,102.3
293827,74.48
293828,73.87
281601,168.0
313700,176.02
332611,117.77
332612,124.96
332613,141.82
332614,77.29
332618,152.24
332619,177.0
332620,169.91
332621,95.64
324332,176.05
332623,216.0
332626,229.9
313910,108.82
313969,173.76
313997,174.72
322143,173.0
332627,69.9108
332628,87.0
332632,74.3472
332633,146.5
328971,72.0
327594,143.0
319384,72.0
312907,177.0
332636,195.0
332634,157.0
313226,86.0
297357,195.0
316314,96.0
316371,96.0
328848,195.0
332638,145.0
332643,52.17
332645,67.91
285304,87.0
285305,87.0
332647,88.48
332648,182.0
332649,106.0
234850,114.09
328993,198.96
235128,82.5465
332652,80.15
314506,84.17
297926,72.0
319002,112.0
319024,145.0
309824,87.0
319277,177.0
299977,113.0
305137,72.0
307856,72.998
297820,180.072
297681,177.0
236945,158.0
286269,66.1
292896,199.13
332654,69.5232
332655,154.56
332659,72.0
332660,134.6
241400,347.66
313765,332.9967
332662,138.95
246520,72.0
332664,211.24
324161,160.0
306198,74.66
332666,135.87
332667,70.36
332668,69.79
313927,173.76
254307,66.1
254308,66.1
295763,199.7775
332669,135.0
316606,72.0
332672,72.0
239097,141.9
332675,195.0
332679,149.3296
332678,245.53
332680,245.53
332682,72.0
332681,107.52
332683,84.72
332684,103.98
332688,69.88
330074,66.1
332690,191.41
313485,176.02
332691,126.7404
231004,73.93
322435,110.0
332692,130.0
313167,176.05
332695,158.28
332697,60.49
332698,99.4
332696,71.91
332699,137.63
332700,72.0
332701,186.5813
290215,73.6344
332702,143.0
320817,74.1312
332705,80.15
332706,197.34
332707,195.75
332709,190.01
239206,296.75
332710,178.0
320254,72.0
263122,66.1
320255,72.0
263123,72.0
320256,72.0
263124,72.0
320257,72.0
263125,72.0
