iddespesa,medicos
32879,920.0
32880,1040.0
32881,1350.0
32882,1350.0
32883,625.0
32894,1170.0
32899,560.0
32900,492.0
32901,1170.0
32902,813.0
32903,810.0
32904,550.0
32930,1000.0
32940,1123.0
32965,830.0
32966,690.0
32967,1160.0
32968,815.0
32980,1422.0
32981,1170.0
32982,1355.0
32983,913.0
33013,1170.0
33014,920.0
33015,1040.0
33016,1350.0
33017,1350.0
33018,625.0
33031,560.0
33032,492.0
33033,1170.0
33034,813.0
33035,810.0
33036,550.0
33038,606.0
33042,810.0
33090,1123.0
33091,1000.0
33092,515.0
33104,830.0
33105,784.0
33106,690.0
33107,1160.0
33108,815.0
33121,1170.0
33122,1355.0
33123,913.0
33124,1350.0
33135,810.0
33154,1170.0
33155,920.0
33156,1040.0
33157,1350.0
33158,1350.0
33159,625.0
33184,560.0
33185,1170.0
33186,813.0
33187,810.0
33198,1123.0
33199,1000.0
33213,830.0
33214,815.0
33215,1160.0
33216,690.0
33222,1422.0
33223,1170.0
33234,810.0
33239,1350.0
33240,1350.0
33260,810.0
33261,1170.0
33263,560.0
33270,492.0
33274,1000.0
33275,515.0
33276,1123.0
33289,1160.0
33290,450.0
33291,815.0
33315,913.0
33316,1355.0
33317,1422.0
33319,1170.0
33321,1350.0
33331,810.0
33334,1350.0
33336,625.0
33337,1350.0
33339,1040.0
33341,1170.0
33342,920.0
33353,810.0
33354,813.0
33355,1170.0
33358,550.0
33360,560.0
33370,1000.0
33371,1123.0
