iddespesa,alimentacao
39589,72.59
39588,160.0
39581,9.0
39579,105.71
39578,200.0
39577,37.05
39547,47.9
39546,31.54
39545,80.0
39543,159.77
39511,12.0
39509,30.0
39508,127.94
39507,26.9
39506,50.0
39503,52.0
39501,70.0
39500,65.3
39492,19.0
39489,50.0
39447,9.0
39451,83.6
39450,64.57
39422,86.98
39421,220.0
39420,25.9
39414,24.9
39412,8.33
39368,35.0
39367,23.0
39366,23.0
39365,150.0
39364,25.44
39363,6.74
39359,9.0
39325,100.0
39318,22.61
39317,47.43
39316,8.5
39288,10.0
39286,93.93
39251,55.99
39250,80.0
39247,9.0
