idreceita,Mensalidades
2051280,44.43
1984344,55.24
1984228,55.2701
1985193,55.32
1989113,55.8035
1985192,55.81
2005791,56.348
1985122,56.35
2005923,56.6602
2005868,56.8036
1992854,57.12
1992855,57.12
2005724,57.9526
1980444,58.24
1985874,58.24
1985896,58.24
2005797,58.9791
1983000,58.98
1984261,59.05
1981898,60.0755
1973948,60.64
1986847,60.64
1984908,60.72
1996053,61.6602
1979039,61.68
1986858,61.91
1975544,62.0588
1984198,62.66
1979696,62.72
1983319,62.99
1993742,63.27
1982559,63.79
2005931,63.8047
1975613,63.82
1984444,63.84
1984532,63.84
1994281,63.92
2020192,63.9203
2052051,64.15
2052854,64.51
1987854,64.5966
1982900,64.79
1982607,64.99
2001715,65.078
1980418,65.08
1986824,65.1
2005762,65.1011
2005862,65.3452
1981914,65.37
1984443,65.38
1982623,65.42
1986610,65.67
1985727,65.7086
2052050,66.05
1990609,66.1
2020140,66.1
2050721,66.1
2053700,66.1
2053881,66.1
1983180,66.18
1984775,66.24
1993588,66.26
1995561,66.32
2000975,66.4807
1978325,66.54
2005010,66.6251
1974371,66.63
1982891,66.63
2005781,66.9479
1986702,66.95
1989529,67.02
1995815,67.02
2020387,67.02
2005906,67.0685
2001734,67.0935
1975421,67.21
1982422,67.24
1982616,67.29
1982617,67.29
1981453,67.45
2051043,67.5608
1985916,67.61
1978735,67.84
1995487,67.84
2051390,67.88
2053532,67.98
1974971,68.0
1977770,68.0
1980032,68.0
2012004,68.0
2012768,68.0
2053177,68.0
2050720,68.06
2017399,68.1108
2002830,68.12
1986757,68.1353
1987895,68.17
1985915,68.22
2001818,68.2332
1978611,68.46
1986651,68.48
2052339,68.48
1982454,68.53
1973657,68.554
1973658,68.554
2053531,68.59
2005915,68.5964
2002396,68.62
2002412,68.62
2002829,68.72
1982330,69.0
2052428,69.03
1987031,69.19
1987875,69.22
1982615,69.3
2017410,69.375
2002841,69.3798
1981077,69.42
2002840,69.53
2008985,69.58
2052426,69.66
1974821,69.7286
1981882,69.85
1985912,70.04
2002411,70.05
2052607,70.1061
1984260,70.15
1987894,70.19
2005922,70.2307
1993989,70.35
1974363,70.63
2002395,70.69
1981938,70.78
1987916,70.79
1980083,70.94
1981122,71.2
1982472,71.24
1987071,71.5878
1983058,71.61
1982543,71.86
1973753,72.0
1973924,72.0
1973984,72.0
1974794,72.0
1975341,72.0
1975367,72.0
1975376,72.0
1977041,72.0
1977072,72.0
1977399,72.0
1977423,72.0
1977654,72.0
1977670,72.0
1978159,72.0
1978308,72.0
1978817,72.0
1978943,72.0
1980634,72.0
1980761,72.0
1981041,72.0
1981324,72.0
1988355,72.0
1988857,72.0
1988970,72.0
1990045,72.0
1990329,72.0
1990366,72.0
1990715,72.0
1990875,72.0
1991464,72.0
1991528,72.0
1991583,72.0
1991592,72.0
1992009,72.0
1992241,72.0
1992320,72.0
1992329,72.0
1993160,72.0
1993210,72.0
1993217,72.0
1995964,72.0
1996523,72.0
1996534,72.0
1996577,72.0
1997545,72.0
1997644,72.0
1997729,72.0
1997852,72.0
1997886,72.0
2000334,72.0
2000636,72.0
2000691,72.0
2000768,72.0
2001484,72.0
2001579,72.0
2002960,72.0
2004541,72.0
2004596,72.0
2004934,72.0
2005789,72.0
2005839,72.0
2010543,72.0
2010949,72.0
2011008,72.0
2011039,72.0
2011073,72.0
2011096,72.0
2011128,72.0
2011158,72.0
2011165,72.0
2011221,72.0
2011315,72.0
2011431,72.0
2011460,72.0
2011507,72.0
2011518,72.0
2011522,72.0
2011546,72.0
2011597,72.0
2011598,72.0
2011626,72.0
2011645,72.0
2011768,72.0
2011779,72.0
2011782,72.0
2011798,72.0
2011811,72.0
2011836,72.0
2011846,72.0
2011889,72.0
2012031,72.0
2012032,72.0
2012646,72.0
2012712,72.0
2016863,72.0
2016868,72.0
2017348,72.0
2017387,72.0
2017423,72.0
2019520,72.0
2019544,72.0
2019920,72.0
2020012,72.0
2020014,72.0
2020026,72.0
2020031,72.0
2020038,72.0
2020039,72.0
2020053,72.0
2020061,72.0
2020069,72.0
2020089,72.0
2020094,72.0
2020109,72.0
2020111,72.0
2020112,72.0
2020127,72.0
2020180,72.0
2020183,72.0
2020186,72.0
2020242,72.0
2020274,72.0
2020285,72.0
2020311,72.0
2020377,72.0
2020381,72.0
2020419,72.0
2020438,72.0
2020491,72.0
2023867,72.0
2023869,72.0
2023879,72.0
2023880,72.0
2023893,72.0
2023921,72.0
2023922,72.0
2023926,72.0
2023937,72.0
2023947,72.0
2023960,72.0
2023982,72.0
2023997,72.0
2024004,72.0
2024017,72.0
2024127,72.0
2024194,72.0
2025195,72.0
2025655,72.0
2025859,72.0
2025882,72.0
2026855,72.0
2026856,72.0
2027000,72.0
2028931,72.0
2028954,72.0
2029784,72.0
2030004,72.0
2030592,72.0
2032344,72.0
2033328,72.0
2034123,72.0
2034231,72.0
2035177,72.0
2035946,72.0
2035996,72.0
2037138,72.0
2037336,72.0
2038812,72.0
2038848,72.0
2039197,72.0
2040440,72.0
2040670,72.0
2041558,72.0
2041704,72.0
2041857,72.0
2041874,72.0
2041919,72.0
2043253,72.0
2043422,72.0
2044450,72.0
2045461,72.0
2045578,72.0
2045954,72.0
2047810,72.0
2048400,72.0
2048475,72.0
2049358,72.0
2049688,72.0
2050210,72.0
2050509,72.0
2050622,72.0
2050674,72.0
2050818,72.0
2050846,72.0
2050980,72.0
2051023,72.0
2051362,72.0
2051400,72.0
2051414,72.0
2051572,72.0
2051573,72.0
2051678,72.0
2051870,72.0
2051914,72.0
2051985,72.0
2052463,72.0
2052469,72.0
2052708,72.0
2052727,72.0
2052831,72.0
2052937,72.0
2053002,72.0
2053076,72.0
2053150,72.0
2053293,72.0
2053319,72.0
2053685,72.0
2053823,72.0
1983224,72.08
1974515,72.18
1981280,72.18
2053156,72.3062
1993896,72.3415
2002851,72.35
2005815,72.3507
1985570,72.42
1985427,72.44
2051300,72.47
1983605,72.8133
2002790,72.83
2050987,72.85
1987855,73.0
1990572,73.0
1991537,73.0
1991655,73.0
1992258,73.0
1997196,73.0
1998206,73.0
2010635,73.0
2011204,73.0
2011404,73.0
2011680,73.0
2017363,73.0
2017465,73.0
2020169,73.0
2051286,73.0
2053638,73.0
2023696,73.0289
2017388,73.0322
2020449,73.102
1976921,73.16
2020483,73.1883
2017380,73.2693
1980915,73.46
1993264,73.46
1973871,73.48
1993169,73.48
1993464,73.48
1997527,73.48
2010983,73.48
1990473,73.5
1995064,73.5
2001549,73.5
2004365,73.5
2023788,73.5
1988321,73.52
2023855,73.52
2023957,73.52
1997359,73.54
1997473,73.54
2011007,73.54
2020159,73.55
2011391,73.5696
2000858,73.57
1979978,73.58
1996989,73.58
2011164,73.58
1973800,73.59
2020152,73.59
1973714,73.5912
2010806,73.6
1992311,73.61
2010894,73.62
1985864,73.63
2020383,73.6357
1988046,73.64
2010795,73.656
2011159,73.66
2030241,73.66
2052340,73.68
2010681,73.7
2019532,73.7
2052661,73.7
1981306,73.72
1988907,73.72
1993201,73.72
1993209,73.72
2010715,73.72
2011076,73.72
1979376,73.74
2004364,73.74
2051380,73.764
1992614,73.7856
2010462,73.8
2010984,73.81
2019788,73.8288
1975330,73.84
1993096,73.85
2004551,73.85
2010791,73.85
2023690,73.85
2023758,73.85
1991196,73.86
1993200,73.9
2023579,73.9
1987926,73.9051
1977669,73.92
2010478,73.92
2019549,73.94
2010605,73.9584
2010261,73.96
2023679,73.98
2010810,74.0
2054061,74.0016
2010796,74.0448
2023566,74.07
1993463,74.08
1997426,74.08
2052398,74.09
1977921,74.129
2005629,74.1312
2020277,74.134
2009868,74.14
2026204,74.1488
1974845,74.1734
2019513,74.1744
1973799,74.2
2019634,74.22
2000857,74.24
2009703,74.28
2023550,74.28
1986259,74.29
1995134,74.29
2019307,74.304
1993287,74.3256
1976123,74.3523
1993208,74.39
1995126,74.48
2009902,74.48
1995215,74.4831
2009709,74.5
2023332,74.5
2023443,74.5
2026180,74.51
2009360,74.52
2011407,74.52
2023398,74.52
1993077,74.54
2054113,74.5848
1982306,74.66
2010962,74.66
2011143,74.66
2005860,74.664
2020221,74.664
2011288,74.6791
1992257,74.7
2023319,74.71
2017384,74.7117
2052397,74.74
1975791,74.7666
1986186,74.77
1986478,74.77
1986510,74.77
1982812,74.82
1998440,74.85
2010708,74.8761
2023838,74.9
2010852,74.94
1976808,74.95
1999444,74.95
1985487,74.98
2001125,75.04
1974407,75.09
2008627,75.17
2008278,75.19
2005824,75.1911
2039538,75.21
1982236,75.35
2001725,75.38
1993206,75.71
2007545,75.84
1973562,75.9
2002810,75.91
2005801,75.9486
2011849,75.95
2023764,75.95
1982244,75.98
1995165,75.98
1995414,76.12
2017422,76.1371
2002819,76.22
2002750,76.26
2019901,76.3036
1978364,76.35
2011869,76.35
2011872,76.35
1988822,76.3547
2022818,76.4
