iddespesa,medicos
478365,1080.0
478351,790.0
478350,1210.0
478644,1080.0
478349,350.0
478628,350.0
478629,1210.0
478352,1340.0
478366,1340.0
478362,1070.0
478354,1070.0
478359,640.0
478353,610.0
478364,1070.0
478418,1070.0
478425,620.0
478420,2140.0
478426,1070.0
478894,1540.0
478416,610.0
478413,610.0
478463,1340.0
478459,1030.0
478464,1630.0
478460,1310.0
478455,1470.0
478461,610.0
478471,1340.0
478456,880.0
478462,1070.0
478417,690.0
478368,1240.0
478929,1210.0
478473,1240.0
478934,1070.0
478500,810.0
478511,1010.0
478502,1210.0
478496,1210.0
478508,1070.0
478498,1060.0
478492,1070.0
478497,690.0
478495,1470.0
478630,790.0
478831,790.0
478494,810.0
478499,1180.0
478830,1470.0
478552,1340.0
478554,1340.0
478558,1630.0
478555,760.0
478560,1140.0
478565,600.0
478557,2140.0
478978,1070.0
478564,1250.0
478556,1060.0
478600,2140.0
478602,880.0
478590,610.0
478593,1070.0
478592,1340.0
478598,1400.0
478613,1340.0
478622,1070.0
479000,1070.0
479216,1070.0
478827,1070.0
478965,600.0
478645,1340.0
478631,1340.0
478638,640.0
478643,1070.0
478633,1070.0
478641,1070.0
479602,199.0
478632,610.0
478712,620.0
478703,610.0
478704,690.0
478713,1070.0
478705,1070.0
479610,1540.0
478700,610.0
478707,2140.0
478647,1240.0
478787,1240.0
478783,1070.0
478785,1170.0
478767,1470.0
478775,1340.0
478771,1030.0
478776,1630.0
478774,1070.0
478772,1310.0
478768,880.0
478784,1340.0
479624,2310.0
478835,1180.0
478844,1070.0
478832,1210.0
479625,200.0
478834,1060.0
478836,810.0
478829,810.0
478963,1070.0
478953,1340.0
478951,1340.0
478955,990.0
478964,1250.0
478960,1140.0
478956,1060.0
478954,760.0
479024,1340.0
479032,2140.0
479027,1110.0
479030,1210.0
479022,610.0
479045,1340.0
479047,1070.0
479062,1070.0
479069,1070.0
479059,790.0
479072,1080.0
479066,640.0
479071,1070.0
479058,1210.0
479061,610.0
479060,1340.0
479073,1340.0
479057,350.0
479075,1240.0
479140,1070.0
479147,1070.0
479138,610.0
479670,620.0
479672,2140.0
479136,1340.0
479673,200.0
479139,690.0
479135,610.0
479177,1310.0
479191,1240.0
479179,1070.0
479173,880.0
479188,1340.0
479172,1470.0
479691,1170.0
479181,1630.0
479187,1070.0
479180,1340.0
479176,1030.0
479223,1060.0
479233,1070.0
479218,810.0
479219,1470.0
479227,1210.0
479702,200.0
479222,690.0
479703,1180.0
479221,610.0
479225,810.0
479704,2310.0
479270,2140.0
479269,1340.0
479268,1340.0
479271,1070.0
479284,2140.0
479277,1340.0
479282,1400.0
479297,1070.0
479295,1340.0
479302,1070.0
479313,1070.0
479320,1070.0
479312,610.0
479310,790.0
479317,640.0
479323,1080.0
479322,1070.0
479309,1210.0
479311,1340.0
479324,1340.0
479308,350.0
479326,1240.0
479374,1008.0
479373,1070.0
479366,1070.0
479799,1070.0
479365,690.0
479362,1340.0
479801,1070.01
479361,610.0
479416,1470.0
479424,1630.0
479420,1310.0
479813,1070.0
479432,1170.0
479431,1340.0
479423,1340.0
479422,1070.0
479417,880.0
479434,1240.0
479457,810.0
479822,2310.0
479465,1070.0
479448,1070.0
479450,810.0
479455,1060.0
479451,1470.0
479456,1180.0
479459,1210.0
479834,1070.0
479499,1630.0
479493,1340.0
479498,2140.0
479496,990.0
479497,1060.0
479504,1250.0
479505,600.0
479495,1340.0
479531,1036.0
479521,1340.0
479522,1070.0
479530,1070.0
479523,1450.0
479528,1210.0
479520,1070.0
479525,1110.0
479543,1070.0
479536,1340.0
479848,1070.0
479550,790.0
479236,1010.0
479421,610.0
479364,610.0
479178,610.0
479858,610.0
479051,1070.0
478340,1210.0
479721,1340.0
479868,200.0
479724,690.0
479720,610.0
479732,1070.0
479725,1070.0
479723,610.0
479734,1010.0
479454,690.0
479731,620.0
479554,1450.0
479564,1080.0
479558,640.0
479561,1070.0
479549,1210.0
479552,610.0
479553,1070.0
479551,1340.0
479565,1340.0
479563,1070.0
479548,350.0
479913,119.0
479915,690.0
479737,1070.0
479916,1070.0
479917,1905.0
479919,273.0
479920,1070.0
479921,1070.0
479922,620.0
479924,790.0
479925,1640.0
479927,200.0
479928,1070.0
