iddespesa,alimentacao
519542,48.0
519587,55.0
519590,100.0
519567,264.0
519623,2626.72
519115,62.16
519125,626.26
519128,55.0
519049,144.0
519050,192.0
519051,252.0
519052,192.0
519053,192.0
519054,288.0
519055,180.0
519056,192.0
519057,144.0
519058,288.0
519059,180.0
519060,192.0
519061,192.0
519062,144.0
519063,288.0
519064,192.0
519065,288.0
519066,288.0
519067,288.0
519068,180.0
519069,12.0
519070,192.0
519071,288.0
519072,288.0
519073,180.0
519074,288.0
519075,288.0
519076,144.0
519077,192.0
519078,192.0
519079,132.0
519080,288.0
519081,288.0
519082,192.0
519083,144.0
519084,192.0
519042,2270.0
