iddespesa,medicos
6383,508.0
6392,965.0
6393,695.5
6394,385.2
6396,508.25
6408,1350.0
6420,561.75
6431,706.2
6433,1177.0
6437,990.0
6450,508.0
6451,513.6
6453,700.0
6454,990.0
6465,706.2
6466,1070.0
6467,695.5
6468,561.75
6469,560.0
6470,1177.0
6471,508.25
6472,513.6
6473,385.2
6474,706.2
6475,1177.0
6476,513.6
6501,965.0
6502,695.5
6503,385.2
6505,508.25
6515,1350.0
6517,1070.0
6533,706.2
6535,1177.0
6539,990.0
6542,561.75
6543,508.0
6574,508.0
6575,513.6
6602,965.0
6603,695.5
6604,385.2
6606,508.25
6607,560.0
6647,1000.0
