idreceita,Mensalidades
69735,130.52
69738,168.92
66919,160.0
67803,218.94
68008,195.0
73711,230.99
69346,226.38
76233,203.3
66581,466.7
69553,462.51
69754,450.0
69216,204.44
69712,218.94
69739,199.27
69740,187.69
69741,207.23
72893,72.0
67456,228.32
68137,110.0
66981,79.0
69277,79.0
69736,204.44
69715,78.54
74878,89.0
68184,169.44
66904,100.49
67818,110.88
68000,110.88
69324,225.23
69076,72.0
69313,75.74
66927,450.0
69437,178.0
74652,79.0
74678,335.0
74032,162.37
67277,110.0
76267,149.86
69724,114.88
76272,384.0
67513,170.94
69171,448.7553
76290,225.0
69746,372.05
73074,390.0
73288,195.0
73299,195.0
67428,187.14
67672,207.23
67681,390.38
67689,84.33
67697,204.44
67705,195.0
67722,110.0
67044,209.04
68166,84.32
67873,90.04
67098,197.45
67619,143.68
68222,477.18
67866,204.44
67796,204.44
68498,204.44
68854,131.67
68989,152.7
68341,184.8
67934,204.44
67788,83.16
67983,209.42
67901,236.94
69353,83.11
69314,546.18
66824,79.0
69422,79.0
67952,423.0
67960,119.0
67976,220.0
67150,79.0
67285,79.0
67242,79.0
69948,79.0
69958,79.0
71923,148.0
71966,129.0
72563,99.0
72880,225.0
67943,166.32
74707,79.0
74974,225.0
75326,355.0
75414,225.0
69212,80.67
69271,373.65
67413,80.63
72721,80.63
67830,204.44
76358,203.5102
76359,83.16
76360,387.34
76364,160.0
68194,210.5527
76376,85.0
74863,79.0
74862,79.0
76388,225.0
76390,105.58
66896,78.54
76392,203.34
69812,179.0
67434,204.44
76395,85.0
76407,123.41
76408,122.31
76409,99.0
76428,172.1
76429,197.02
76430,195.31
76419,810.0
76445,140.15
76446,225.2302
76458,170.0
76448,85.0
69747,116.94
69748,181.37
69752,193.5
69753,195.0
73392,106.0
73445,195.0
74961,245.0
67228,204.44
67767,204.44
67583,190.38
67584,184.8
68175,169.91
68215,83.16
67463,83.16
68733,104.15
67909,236.94
69330,83.17
67918,204.44
67127,308.39
67120,115.5
69388,225.23
69442,83.11
67613,148.0
69525,79.0
67569,110.0
69366,209.0
66045,377.11
69511,87.48
75905,85.0
73675,129.0
76511,135.89
75072,120.0
69774,110.88
66295,82.0
67305,81.27
76515,85.0
76529,73.85
68865,225.23
68251,204.44
76533,79.0
67056,788.64
76548,194.33
69716,414.45
76554,203.3
76555,270.0
76556,120.0
69762,79.0
66084,135.13
67730,110.0
76567,79.0
69682,83.16
68068,169.8
69755,588.09
69756,83.16
69757,131.22
69760,206.7
69761,110.0
68457,308.39
68549,225.0
67606,86.7
68153,132.88
68154,129.18
68193,153.75
67030,204.44
68348,166.48
67221,83.16
68923,204.44
69819,369.21
68285,204.44
68385,225.23
68821,225.23
69033,83.16
69351,225.0
67165,110.0
72695,198.0
73488,159.0
75046,85.0
69338,225.29
69264,162.37
71509,1249.16
76613,367.31
76614,153.39
68189,166.32
76628,154.12
69440,111.77
69282,321.7846
76634,204.1578
69195,112.96
76636,643.0
69069,225.0
76640,181.34
76641,198.76
76469,225.0
76644,86.02
76645,85.25
76648,130.0
76658,170.0
69343,225.0
76673,324.34
76674,316.77
76675,165.17
67562,181.34
69214,79.0
69763,78.54
69764,83.16
69765,140.52
69767,167.48
69769,218.94
69770,218.94
69772,195.0
66860,188.81
67774,207.53
68168,201.73
68187,78.54
66867,204.44
68535,225.23
71710,82.62
68258,225.23
68671,195.0
69358,204.44
67499,277.2
66954,317.63
69477,204.13
69457,225.23
67893,225.23
69371,542.83
69357,225.0
69463,79.0
69250,253.11
68035,160.58
68634,414.62
68664,187.69
68171,84.32
68198,10.2912
76712,225.0
67249,469.01
67250,464.92
68158,203.34
76718,126.3101
76719,125.1701
67732,108.14
76732,544.341
69786,346.0
68197,157.96
67575,86.67
67206,195.0
69775,207.31
69776,152.04
69777,391.04
69778,150.93
69779,206.7
69782,72.0
69783,110.0
67342,160.0
76751,230.9508
76753,412.17
69152,85.55
66374,233.4508
67773,211.1703
67645,195.0
67186,72.0
69784,259.68
69785,207.23
69787,187.14
69789,135.0
69790,195.0
69793,536.0
69160,85.6
69369,87.48
69795,204.44
69797,204.44
69798,207.23
69799,152.17
70981,72.0
67214,172.4
69394,79.0
66329,155.7494
68152,168.63
68209,208.94
68212,208.88
67037,187.69
68130,204.44
68773,504.74
68879,187.69
69475,225.23
69393,79.0
72335,198.0
73921,79.0
75204,170.0
69286,80.63
69275,418.85
70032,80.63
76803,225.0
69595,386.28
69796,375.39
67157,211.25
68591,85.57
76809,304.0
76820,198.0
76831,356.8602
69419,189.0
76833,136.06
69781,129.0
69641,341.7288
76835,569.0
69105,204.44
69384,225.0
69126,375.0
66262,79.0
69713,203.82
69806,150.15
69807,408.87
69808,207.23
69809,185.6
69811,76.11
69813,338.0
75090,59.0
67357,173.0
76867,166.3902
69375,277.0
76871,120.0
73585,159.0
68219,158.08
68236,189.58
68317,204.44
67521,187.69
68424,78.12
68477,204.44
68726,204.41
67884,187.69
68957,83.16
68075,76.35
68713,83.16
68969,179.0
69367,204.44
66960,195.0
69494,83.11
67191,79.0
69395,110.0
71769,189.0
69433,165.16
73697,79.0
73821,189.0
73831,129.0
74211,225.0
75156,181.7
75221,85.0
75244,270.0
75301,185.0
69243,185.8
72314,80.65
69292,80.63
69308,80.67
68541,114.82
69711,85.15
76918,79.0
69354,236.7
76930,450.4502
69231,86.6
76931,79.0
76945,110.0
68828,236.94
76961,184.2984
76974,79.0
76964,120.0
69026,116.65
69676,72.0
73661,72.0
69800,245.31
69814,409.97
69815,209.04
69817,72.0
73941,72.0
68437,204.44
68565,150.15
68981,209.18
68464,225.23
68292,83.17
69468,83.16
71406,542.0
74044,99.0
69303,80.67
77023,225.0
77014,110.0
77036,83.83
77041,85.0
69794,354.59
77053,85.0
77064,225.0
77066,225.23
69001,225.23
66839,166.32
77072,198.0
77083,235.0
77096,81.1253
66974,181.8
67485,83.83
69818,189.42
69820,469.3
69824,183.3
69825,160.0
68160,203.34
69432,189.58
71553,110.0
68089,319.85
69403,249.48
69464,236.7
69867,225.23
67320,80.67
67009,408.87
69261,75.74
69471,75.74
77120,225.0
69402,165.17
69828,373.62
69830,131.22
69831,209.04
69832,84.33
69834,72.0
68226,83.16
67528,79.0
69400,122.46
69416,119.0
74718,80.67
69533,161.25
77151,85.871
69310,85.1724
77153,85.1226
69420,79.0
77156,85.0
69337,209.14
73990,158.0
77173,225.0
68096,362.09
68916,160.0
69836,187.69
69837,207.23
69840,413.4
71836,160.0
77182,159.0
67306,80.7933
77184,185.3477
77185,204.44
66673,756.1001
69053,788.3001
69409,79.0
58834,147.95
66690,146.68
69644,145.36
69844,509.32
75613,343.0
69838,83.16
69846,187.6918
69849,167.17
69851,177.0
69852,106.0
67371,72.0
68232,204.44
68780,76.35
74003,159.0
74610,198.0
75468,119.0
75558,99.0
69293,80.63
67739,162.68
77210,83.16
69301,85.27
69512,83.16
77213,79.0
77214,355.0
77226,162.7526
69896,225.23
77230,85.0
72392,81.1
68174,203.34
77242,85.0
69295,125.19
69853,353.5
69855,210.39
69856,413.4
69857,206.7
69858,111.72
69424,79.0
59545,82.5
69245,81.05
77265,167.2976
68191,375.39
68204,391.25
68208,215.07
68234,204.44
68685,89.44
68585,83.16
68627,204.44
68848,83.11
68904,229.93
67535,236.13
67536,236.13
69458,83.16
67023,198.0
69448,198.0
69435,129.0
69444,278.0
69461,79.0
74382,79.0
75745,159.0
69320,229.77
74769,80.67
66889,210.39
69356,80.7
74270,81.15
60959,297.5694
77291,79.0
77302,86.9676
68116,83.11
77305,85.0
69407,225.0
76124,85.0
77319,110.88
67761,199.27
77325,79.0
69827,207.23
77337,225.23
77327,79.0
77340,324.6222
67651,163.2771
77341,225.0
69821,186.73
74290,143.0
69860,201.34
69861,84.33
69862,118.8
69863,390.0
66995,410.03
68696,130.56
69530,225.23
69441,83.16
69527,267.0
69283,103.65
77370,85.0
77381,225.0
76017,225.0
68747,85.15
68399,236.94
77388,278.0
77399,198.0
69732,112.83
77411,79.0
69868,183.82
69869,117.05
69870,207.23
75851,225.0
68945,76.35
68491,195.0
74305,148.0
75807,79.0
69386,80.63
67576,83.16
77435,130.0
68179,510.51
69370,85.8083
74135,158.0
74892,65.17
69892,206.08
66756,319.66
67399,195.0
67084,411.04
67235,101.88
69872,83.16
69873,183.3
69874,474.0
68206,176.19
69895,182.95
67392,79.0
67753,236.94
74719,79.0
73321,123.77
75795,79.0
74316,198.0
67637,81.53
77480,129.0
77491,170.0
77502,81.291
69054,298.92
67492,204.44
77512,179.0
77525,299.23
74432,324.0
75089,39.0
68103,207.23
69040,133.23
69876,206.7
69877,72.0
66911,187.14
69881,82.62
69882,82.62
69884,412.17
69885,492.26
69886,72.0
69887,143.0
69888,338.0
69889,72.0
66853,199.27
68228,167.61
69891,204.44
69894,143.0
74487,195.0
72223,79.02
75877,79.0
74197,80.63
69089,103.49
69090,100.49
77558,225.23
69744,199.14
77563,85.0
77576,270.0
77607,231.4913
68391,83.16
67514,166.32
69490,166.32
69047,397.0
69899,72.0
72417,195.0
67207,195.0
67507,143.93
77617,198.76
68185,169.14
67620,147.83
68304,187.69
68310,208.7
68354,157.28
68425,76.35
69290,244.69
68766,204.44
69495,159.0
69474,159.0
69480,179.0
69481,366.0
69529,79.0
74465,79.0
74476,129.0
69315,79.0
76534,79.0
73908,80.7
77636,69.0
69843,182.95
77650,83.11
68172,95.697
73309,79.0
73310,79.0
69523,75.74
69900,83.16
69903,313.83
69904,380.33
69906,110.0
69907,195.0
68652,76.11
69009,195.0
67064,225.0
71066,178.0
71977,79.0
77669,141.62
77673,209.2034
77671,187.69
77672,187.69
70690,204.44
69909,414.45
67421,195.0
77680,76.58
68176,166.19
68872,137.85
69491,72.0
74589,225.0
67078,79.0
77689,83.59
77690,82.86
77691,82.14
77692,81.41
77693,79.0
76006,79.0
69911,199.27
69915,195.0
67349,76.11
67441,297.0
67543,203.34
69505,187.69
69499,122.43
69496,79.01
74695,158.0
69401,121.56
77706,157.3323
69801,105.72
69916,78.54
69917,414.45
69918,414.45
69922,195.0
77716,215.07
77717,202.5274
77718,170.0
66905,100.49
67826,83.16
69759,130.71
69924,149.07
69925,207.23
69926,172.4
69927,118.45
74667,72.0
66811,181.32
69522,87.48
68238,112.99
69931,204.44
69933,218.94
66967,210.39
67172,205.87
67179,187.69
67819,110.88
69504,78.54
68578,204.49
67449,79.0
67984,205.14
69518,79.0
74708,79.0
76063,650.0
77757,129.0
77768,79.0
77769,400.0
70904,125.19
