idreceita,Mensalidades
86028,110.0
78027,215.25
76530,215.82
77216,79.0
77215,198.0
77229,85.0
77353,91.15
77201,173.31
77384,253.06
76849,290.96
76636,330.0
76955,91.1
86113,185.0964
86114,211.51
86103,85.0
86119,79.0
86132,217.7
76762,251.77
76752,192.03
86139,198.03
78030,176.11
78031,225.0
85113,629.0
86142,59.0
76543,222.84
76518,225.0
77290,225.0
77241,270.0
77424,321.0
77263,99.0
77230,270.0
77254,91.15
77225,150.02
77224,289.69
77390,289.69
77369,119.9
77237,199.75
63755,180.31
84309,148.03
85645,99.0
76963,90.86
77141,80.63
77109,90.86
77157,90.83
84879,90.83
84890,127.58
85291,270.0
71676,252.66
78204,514.9
77344,203.26
71553,126.31
77879,125.22
78060,121.83
84819,518.0
78032,99.56
76506,95.56
86165,546.25
76504,184.6086
77246,245.25
77668,225.0
77667,225.0
77376,187.0
78035,124.84
78036,223.06
78037,206.7
78038,76.11
78039,215.25
78041,430.5
78042,289.69
78043,289.69
78044,85.0
85189,160.0
77387,86.11
76513,169.99
84676,160.0
84677,160.0
78012,89.0
78013,89.0
78049,129.6
78050,182.75
78053,129.0
78054,79.0
78052,85.0
76532,222.84
76519,204.88
76520,171.33
77377,110.0
77284,160.0
77355,85.0
77370,125.2
77653,139.71
77278,88.85
77750,93.52
78138,245.5
71069,81.76
76767,86.66
76526,155.02
76525,201.4
86182,229.3023
77289,270.0
76818,89.0
84397,79.0
84398,79.0
71176,245.0
76527,224.63
86184,163.66
76631,252.25
77257,261.93
86195,120.0
76793,126.33
78056,270.0
78057,270.0
78058,270.0
71278,85.92
76967,85.17
77991,242.22
78047,204.58
77367,255.0
76555,204.58
76567,90.64
76568,88.85
76521,245.25
76548,79.0
76544,164.97
77325,99.0
77275,270.0
77274,250.0
77322,270.0
77321,270.0
77498,225.0
77319,85.0
77543,69.0
77490,160.0
77472,284.0
77294,235.0
77338,85.0
77337,195.0
77293,180.0
77292,120.0
77291,85.0
77430,85.0
77247,234.0
77313,85.0
77312,85.0
77262,85.0
77308,270.0
77285,270.0
77260,320.0
77280,170.0
77638,241.93
77258,289.69
77256,127.64
77528,84.46
77446,91.15
77304,128.9
77632,86.11
77351,161.32
77526,124.72
77277,88.85
77276,395.14
77345,90.64
85377,120.0
77104,176.62
77120,70.44
77180,92.51
77207,497.03
78046,204.58
77323,85.0
86214,69.0
86225,85.0
77405,85.0
84784,80.84
77481,245.25
86236,158.0
77273,204.0
77203,86.3
86249,213.91
76980,178.0
86255,164.91
86254,175.14
77303,83.11
84126,225.0
78064,119.9
86273,216.51
76432,313.63
78062,229.47
78063,178.58
78065,241.93
78066,59.0
78067,69.0
78068,85.0
78069,85.0
77563,225.0
76524,115.37
80308,270.0
77315,170.0
86280,253.64
76569,91.37
76541,88.85
76551,245.25
76531,241.93
77343,85.0
77326,225.0
77300,190.06
77366,85.0
77493,148.0
77336,119.0
77335,79.0
77357,85.0
77288,135.04
77310,130.0
77434,245.0
77484,198.13
77444,172.22
77350,245.25
77549,253.06
77302,245.5
78153,221.64
84407,79.0
76718,292.67
77148,80.63
77083,250.27
77189,86.75
82176,514.9
86287,185.0
77161,88.85
86313,130.0
77048,178.0
78020,185.5
78201,181.49
71407,155.7
77094,166.46
78070,235.31
78071,128.48
78072,104.91
78073,379.93
78074,110.0
76558,253.31
76539,245.5
76547,84.46
84079,85.0
77320,79.02
77489,75.0
77361,130.0
77451,198.0
77532,79.0
77808,170.75
77332,158.71
77349,86.11
77385,188.31
77328,87.48
78093,289.69
77340,540.0
76923,89.33
77009,132.38
84858,90.83
77211,80.63
77210,80.7
71453,79.0
77140,79.0
86337,189.1152
77311,135.0
86339,233.35
77287,89.0
86342,110.0
76449,159.49
76986,97.54
77612,205.0
77021,190.0
71644,85.99
78076,454.99
78077,215.25
78078,165.84
78080,225.0
76537,90.64
76545,90.64
83310,225.0
77379,79.0
77499,179.0
77329,245.32
77508,119.9
77415,129.71
77431,93.52
77011,145.21
76724,217.81
77147,290.87
70931,254.53
86360,225.0
77626,253.31
77950,243.2426
76875,195.225
86374,270.0
77634,86.11
76851,65.7894
77475,64.01
74484,125.0
86381,135.0
86391,210.0
85158,89.0
78082,140.0
85481,130.0
77411,515.0
77621,85.0
77441,450.0
77438,188.0
77422,225.0
77394,212.86
77393,241.93
77123,80.65
77111,79.0
78085,215.25
78086,226.1
78087,121.2
84067,130.0
84089,120.0
76809,91.58
77358,85.0
76813,265.48
78088,222.84
78089,235.31
78090,470.61
78092,176.11
78095,187.0
78096,129.0
85516,185.0
76552,195.0
86430,420.0
86419,225.0
86452,270.0
86463,79.0
77079,89.0
86481,130.0
85100,80.82
78081,373.47
78098,222.84
78099,235.31
78100,437.87
78101,454.99
78102,223.06
78104,412.0
78105,79.11
78106,225.0
78107,79.0
86484,209.1
86485,209.1
86486,197.45
76549,222.84
81709,225.0
77505,148.0
77440,79.0
77495,159.0
77453,75.0
77408,270.0
77407,270.0
77406,189.0
77561,110.0
77581,270.0
77535,130.0
77436,185.0
77426,85.0
77580,85.0
77531,85.0
77420,270.0
77389,91.15
77458,88.85
78155,83.11
77080,148.07
77160,217.54
77281,90.86
76618,139.24
77318,69.0
77491,140.0
85669,79.0
71473,177.99
77163,176.44
86491,455.0
77121,69.0
77198,93.52
77501,160.0
76553,110.42
78108,215.5
78110,294.36
78112,384.74
78113,546.4
78114,84.46
78135,210.0
76579,201.32
76434,79.01
77533,110.0
77652,88.85
77651,88.85
76777,132.35
76758,292.5
76680,132.29
77339,70.42
86508,193.94
78111,176.11
78075,89.0
78116,274.565
78117,218.94
78119,388.59
78120,430.5
78121,99.0
78122,270.0
76583,192.13
77497,168.0
77496,99.0
77488,234.0
77539,85.0
77468,91.15
77511,89.92
77459,83.11
77480,210.21
79270,179.0
77132,175.77
77144,147.99
76789,138.51
77169,117.37
76664,135.0
76563,93.52
86521,270.0
77534,140.0
78963,140.0
76797,135.0
84339,85.0
76929,118.23
77221,104.15
86533,85.0
86547,235.0
76801,135.0
76838,88.68
77981,215.0
78123,354.38
78124,319.54
78125,190.82
78127,225.0
77513,241.93
76564,86.11
77479,190.06
77589,225.0
77711,160.0
77584,173.0
77485,91.15
77753,145.09
84539,79.0
85566,225.0
76771,81.06
77199,238.31
77301,89.28
77401,131.73
56818,72.657
86577,215.0702
86578,225.0
77520,86.11
77012,84.46
77183,84.46
78128,124.84
78130,130.0
84363,148.0
84373,79.0
84386,79.0
76516,253.5867
48668,69.0
64167,69.0
71498,69.0
77204,73.7701
86594,89.6701
86595,88.8901
86596,88.0901
86597,228.65
76794,79.0
77418,84.46
78132,151.27
78133,215.25
78134,189.11
78136,235.0
78137,85.0
84420,170.0
84445,85.0
77997,86.71
78126,140.0
78139,526.86
78142,270.0
84485,225.0
76566,245.25
76561,121.83
76562,184.0
77503,158.05
77530,225.0
77577,84.46
77509,86.11
77253,175.82
76890,251.52
86622,129.0
77072,81.17
78103,223.06
77627,173.31
86636,235.0
77552,239.86
77695,198.0
77492,69.0
77305,86.5039
78143,99.56
78145,235.31
78147,206.7
78165,85.0
77594,86.11
76565,204.58
76577,190.76
77522,343.0
77572,420.0
77600,165.0
77564,85.0
77555,120.0
77637,84.46
77527,140.61
77548,90.64
77546,93.52
84587,140.0
85732,85.0
77362,218.6
77607,151.83
86653,210.0
86666,90.64
86664,90.64
86665,90.64
86679,0.01
86680,0.01
86668,85.0
84621,118.3
84622,110.0
78152,129.6
78154,223.06
78157,215.25
78158,148.32
84608,270.0
76576,83.22
76582,197.04
81018,245.5
77669,270.0
77582,99.0
77830,289.69
77676,90.64
78061,121.84
76844,91.45
77469,97.2
77583,285.0
86697,168.75
77433,89.0
