ref_date,variable,value,unit,source
2020-01,igpm_mom,0.48,%,ipea-odata4-IGP12_IGPMG12
2020-02,igpm_mom,-0.04,%,ipea-odata4-IGP12_IGPMG12
2020-03,igpm_mom,1.24,%,ipea-odata4-IGP12_IGPMG12
2020-04,igpm_mom,0.8,%,ipea-odata4-IGP12_IGPMG12
2020-05,igpm_mom,0.28,%,ipea-odata4-IGP12_IGPMG12
2020-06,igpm_mom,1.56,%,ipea-odata4-IGP12_IGPMG12
2020-07,igpm_mom,2.23,%,ipea-odata4-IGP12_IGPMG12
2020-08,igpm_mom,2.74,%,ipea-odata4-IGP12_IGPMG12
2020-09,igpm_mom,4.34,%,ipea-odata4-IGP12_IGPMG12
2020-10,igpm_mom,3.23,%,ipea-odata4-IGP12_IGPMG12
2020-11,igpm_mom,3.28,%,ipea-odata4-IGP12_IGPMG12
2020-12,igpm_mom,0.96,%,ipea-odata4-IGP12_IGPMG12
2021-01,igpm_mom,2.58,%,ipea-odata4-IGP12_IGPMG12
2021-02,igpm_mom,2.53,%,ipea-odata4-IGP12_IGPMG12
2021-03,igpm_mom,2.94,%,ipea-odata4-IGP12_IGPMG12
2021-04,igpm_mom,1.51,%,ipea-odata4-IGP12_IGPMG12
2021-05,igpm_mom,4.1,%,ipea-odata4-IGP12_IGPMG12
2021-06,igpm_mom,0.6,%,ipea-odata4-IGP12_IGPMG12
2021-07,igpm_mom,0.78,%,ipea-odata4-IGP12_IGPMG12
2021-08,igpm_mom,0.66,%,ipea-odata4-IGP12_IGPMG12
2021-09,igpm_mom,-0.64,%,ipea-odata4-IGP12_IGPMG12
2021-10,igpm_mom,0.64,%,ipea-odata4-IGP12_IGPMG12
2021-11,igpm_mom,0.02,%,ipea-odata4-IGP12_IGPMG12
2021-12,igpm_mom,0.87,%,ipea-odata4-IGP12_IGPMG12
2022-01,igpm_mom,1.82,%,ipea-odata4-IGP12_IGPMG12
2022-02,igpm_mom,1.83,%,ipea-odata4-IGP12_IGPMG12
2022-03,igpm_mom,1.74,%,ipea-odata4-IGP12_IGPMG12
2022-04,igpm_mom,1.41,%,ipea-odata4-IGP12_IGPMG12
2022-05,igpm_mom,0.52,%,ipea-odata4-IGP12_IGPMG12
2022-06,igpm_mom,0.59,%,ipea-odata4-IGP12_IGPMG12
2022-07,igpm_mom,0.21,%,ipea-odata4-IGP12_IGPMG12
2022-08,igpm_mom,-0.7,%,ipea-odata4-IGP12_IGPMG12
2022-09,igpm_mom,-0.95,%,ipea-odata4-IGP12_IGPMG12
2022-10,igpm_mom,-0.97,%,ipea-odata4-IGP12_IGPMG12
2022-11,igpm_mom,-0.56,%,ipea-odata4-IGP12_IGPMG12
2022-12,igpm_mom,0.45,%,ipea-odata4-IGP12_IGPMG12
2023-01,igpm_mom,0.21,%,ipea-odata4-IGP12_IGPMG12
2023-02,igpm_mom,-0.06,%,ipea-odata4-IGP12_IGPMG12
2023-03,igpm_mom,0.05,%,ipea-odata4-IGP12_IGPMG12
2023-04,igpm_mom,-0.95,%,ipea-odata4-IGP12_IGPMG12
2023-05,igpm_mom,-1.84,%,ipea-odata4-IGP12_IGPMG12
2023-06,igpm_mom,-1.93,%,ipea-odata4-IGP12_IGPMG12
2023-07,igpm_mom,-0.72,%,ipea-odata4-IGP12_IGPMG12
2023-08,igpm_mom,-0.14,%,ipea-odata4-IGP12_IGPMG12
2023-09,igpm_mom,0.37,%,ipea-odata4-IGP12_IGPMG12
2023-10,igpm_mom,0.5,%,ipea-odata4-IGP12_IGPMG12
2023-11,igpm_mom,0.59,%,ipea-odata4-IGP12_IGPMG12
2023-12,igpm_mom,0.74,%,ipea-odata4-IGP12_IGPMG12
2024-01,igpm_mom,0.07,%,ipea-odata4-IGP12_IGPMG12
2024-02,igpm_mom,-0.52,%,ipea-odata4-IGP12_IGPMG12
2024-03,igpm_mom,-0.47,%,ipea-odata4-IGP12_IGPMG12
2024-04,igpm_mom,0.31,%,ipea-odata4-IGP12_IGPMG12
2024-05,igpm_mom,0.89,%,ipea-odata4-IGP12_IGPMG12
2024-06,igpm_mom,0.81,%,ipea-odata4-IGP12_IGPMG12
2024-07,igpm_mom,0.61,%,ipea-odata4-IGP12_IGPMG12
2024-08,igpm_mom,0.29,%,ipea-odata4-IGP12_IGPMG12
2024-09,igpm_mom,0.62,%,ipea-odata4-IGP12_IGPMG12
2024-10,igpm_mom,1.52,%,ipea-odata4-IGP12_IGPMG12
2024-11,igpm_mom,1.3,%,ipea-odata4-IGP12_IGPMG12
2024-12,igpm_mom,0.94,%,ipea-odata4-IGP12_IGPMG12
2025-01,igpm_mom,0.27,%,ipea-odata4-IGP12_IGPMG12
2025-02,igpm_mom,1.06,%,ipea-odata4-IGP12_IGPMG12
2025-03,igpm_mom,-0.34,%,ipea-odata4-IGP12_IGPMG12
2025-04,igpm_mom,0.24,%,ipea-odata4-IGP12_IGPMG12
2025-05,igpm_mom,-0.49,%,ipea-odata4-IGP12_IGPMG12
2025-06,igpm_mom,-1.67,%,ipea-odata4-IGP12_IGPMG12
2025-07,igpm_mom,-0.77,%,ipea-odata4-IGP12_IGPMG12
2025-08,igpm_mom,0.36,%,ipea-odata4-IGP12_IGPMG12
2025-09,igpm_mom,0.42,%,ipea-odata4-IGP12_IGPMG12
2025-10,igpm_mom,-0.36,%,ipea-odata4-IGP12_IGPMG12
