ref_date,variable,value,unit,source
2020-01,ipca_mom,21.0,%,ibge-sidra-1737-63
2020-02,ipca_mom,25.0,%,ibge-sidra-1737-63
2020-03,ipca_mom,7.0,%,ibge-sidra-1737-63
2020-04,ipca_mom,-31.0,%,ibge-sidra-1737-63
2020-05,ipca_mom,-38.0,%,ibge-sidra-1737-63
2020-06,ipca_mom,26.0,%,ibge-sidra-1737-63
2020-07,ipca_mom,36.0,%,ibge-sidra-1737-63
2020-08,ipca_mom,24.0,%,ibge-sidra-1737-63
2020-09,ipca_mom,64.0,%,ibge-sidra-1737-63
2020-10,ipca_mom,86.0,%,ibge-sidra-1737-63
2020-11,ipca_mom,89.0,%,ibge-sidra-1737-63
2020-12,ipca_mom,135.0,%,ibge-sidra-1737-63
2021-01,ipca_mom,25.0,%,ibge-sidra-1737-63
2021-02,ipca_mom,86.0,%,ibge-sidra-1737-63
2021-03,ipca_mom,93.0,%,ibge-sidra-1737-63
2021-04,ipca_mom,31.0,%,ibge-sidra-1737-63
2021-05,ipca_mom,83.0,%,ibge-sidra-1737-63
2021-06,ipca_mom,53.0,%,ibge-sidra-1737-63
2021-07,ipca_mom,96.0,%,ibge-sidra-1737-63
2021-08,ipca_mom,87.0,%,ibge-sidra-1737-63
2021-09,ipca_mom,116.0,%,ibge-sidra-1737-63
2021-10,ipca_mom,125.0,%,ibge-sidra-1737-63
2021-11,ipca_mom,95.0,%,ibge-sidra-1737-63
2021-12,ipca_mom,73.0,%,ibge-sidra-1737-63
2022-01,ipca_mom,54.0,%,ibge-sidra-1737-63
2022-02,ipca_mom,101.0,%,ibge-sidra-1737-63
2022-03,ipca_mom,162.0,%,ibge-sidra-1737-63
2022-04,ipca_mom,106.0,%,ibge-sidra-1737-63
2022-05,ipca_mom,47.0,%,ibge-sidra-1737-63
2022-06,ipca_mom,67.0,%,ibge-sidra-1737-63
2022-07,ipca_mom,-68.0,%,ibge-sidra-1737-63
2022-08,ipca_mom,-36.0,%,ibge-sidra-1737-63
2022-09,ipca_mom,-29.0,%,ibge-sidra-1737-63
2022-10,ipca_mom,59.0,%,ibge-sidra-1737-63
2022-11,ipca_mom,41.0,%,ibge-sidra-1737-63
2022-12,ipca_mom,62.0,%,ibge-sidra-1737-63
2023-01,ipca_mom,53.0,%,ibge-sidra-1737-63
2023-02,ipca_mom,84.0,%,ibge-sidra-1737-63
2023-03,ipca_mom,71.0,%,ibge-sidra-1737-63
2023-04,ipca_mom,61.0,%,ibge-sidra-1737-63
2023-05,ipca_mom,23.0,%,ibge-sidra-1737-63
2023-06,ipca_mom,-8.0,%,ibge-sidra-1737-63
2023-07,ipca_mom,12.0,%,ibge-sidra-1737-63
2023-08,ipca_mom,23.0,%,ibge-sidra-1737-63
2023-09,ipca_mom,26.0,%,ibge-sidra-1737-63
2023-10,ipca_mom,24.0,%,ibge-sidra-1737-63
2023-11,ipca_mom,28.0,%,ibge-sidra-1737-63
2023-12,ipca_mom,56.0,%,ibge-sidra-1737-63
2024-01,ipca_mom,42.0,%,ibge-sidra-1737-63
2024-02,ipca_mom,83.0,%,ibge-sidra-1737-63
2024-03,ipca_mom,16.0,%,ibge-sidra-1737-63
2024-04,ipca_mom,38.0,%,ibge-sidra-1737-63
2024-05,ipca_mom,46.0,%,ibge-sidra-1737-63
2024-06,ipca_mom,21.0,%,ibge-sidra-1737-63
2024-07,ipca_mom,38.0,%,ibge-sidra-1737-63
2024-08,ipca_mom,-2.0,%,ibge-sidra-1737-63
2024-09,ipca_mom,44.0,%,ibge-sidra-1737-63
2024-10,ipca_mom,56.0,%,ibge-sidra-1737-63
2024-11,ipca_mom,39.0,%,ibge-sidra-1737-63
2024-12,ipca_mom,52.0,%,ibge-sidra-1737-63
2025-01,ipca_mom,16.0,%,ibge-sidra-1737-63
2025-02,ipca_mom,131.0,%,ibge-sidra-1737-63
2025-03,ipca_mom,56.0,%,ibge-sidra-1737-63
2025-04,ipca_mom,43.0,%,ibge-sidra-1737-63
2025-05,ipca_mom,26.0,%,ibge-sidra-1737-63
2025-06,ipca_mom,24.0,%,ibge-sidra-1737-63
2025-07,ipca_mom,26.0,%,ibge-sidra-1737-63
2025-08,ipca_mom,-11.0,%,ibge-sidra-1737-63
2025-09,ipca_mom,48.0,%,ibge-sidra-1737-63
