date,buy,sell,mid,source,as_of
2020-01-02,40213.0,40207.0,40210.0,bcb-sgs,2020-01-02T00:00:00-03:00
2020-01-03,40522.0,40516.0,40519.0,bcb-sgs,2020-01-03T00:00:00-03:00
2020-01-06,40554.0,40548.0,40551.0,bcb-sgs,2020-01-06T00:00:00-03:00
2020-01-07,40841.0,40835.0,40838.0,bcb-sgs,2020-01-07T00:00:00-03:00
2020-01-08,40672.0,40666.0,40669.0,bcb-sgs,2020-01-08T00:00:00-03:00
2020-01-09,40744.0,40738.0,40741.0,bcb-sgs,2020-01-09T00:00:00-03:00
2020-01-10,40745.0,40739.0,40742.0,bcb-sgs,2020-01-10T00:00:00-03:00
2020-01-13,41309.0,41303.0,41306.0,bcb-sgs,2020-01-13T00:00:00-03:00
2020-01-14,41443.0,41437.0,41440.0,bcb-sgs,2020-01-14T00:00:00-03:00
2020-01-15,41622.0,41616.0,41619.0,bcb-sgs,2020-01-15T00:00:00-03:00
2020-01-16,41726.0,41720.0,41723.0,bcb-sgs,2020-01-16T00:00:00-03:00
2020-01-17,41837.0,41831.0,41834.0,bcb-sgs,2020-01-17T00:00:00-03:00
2020-01-20,41829.0,41823.0,41826.0,bcb-sgs,2020-01-20T00:00:00-03:00
2020-01-21,42014.0,42008.0,42011.0,bcb-sgs,2020-01-21T00:00:00-03:00
2020-01-22,41889.0,41883.0,41886.0,bcb-sgs,2020-01-22T00:00:00-03:00
2020-01-23,41662.0,41656.0,41659.0,bcb-sgs,2020-01-23T00:00:00-03:00
2020-01-24,41769.0,41763.0,41766.0,bcb-sgs,2020-01-24T00:00:00-03:00
2020-01-27,42196.0,42190.0,42193.0,bcb-sgs,2020-01-27T00:00:00-03:00
2020-01-28,42064.0,42058.0,42061.0,bcb-sgs,2020-01-28T00:00:00-03:00
2020-01-29,42013.0,42007.0,42010.0,bcb-sgs,2020-01-29T00:00:00-03:00
2020-01-30,42523.0,42517.0,42520.0,bcb-sgs,2020-01-30T00:00:00-03:00
2020-01-31,42695.0,42689.0,42692.0,bcb-sgs,2020-01-31T00:00:00-03:00
2020-02-03,42475.0,42469.0,42472.0,bcb-sgs,2020-02-03T00:00:00-03:00
2020-02-04,42381.0,42375.0,42378.0,bcb-sgs,2020-02-04T00:00:00-03:00
2020-02-05,42449.0,42443.0,42446.0,bcb-sgs,2020-02-05T00:00:00-03:00
2020-02-06,42477.0,42471.0,42474.0,bcb-sgs,2020-02-06T00:00:00-03:00
2020-02-07,43076.0,43070.0,43073.0,bcb-sgs,2020-02-07T00:00:00-03:00
2020-02-10,43195.0,43189.0,43192.0,bcb-sgs,2020-02-10T00:00:00-03:00
2020-02-11,43148.0,43142.0,43145.0,bcb-sgs,2020-02-11T00:00:00-03:00
2020-02-12,43366.0,43360.0,43363.0,bcb-sgs,2020-02-12T00:00:00-03:00
2020-02-13,43389.0,43383.0,43386.0,bcb-sgs,2020-02-13T00:00:00-03:00
